,Political_system_Poorly,Political_system_Very_poorly,Political_system_Very_well,Political_system_Well,Age_19-29,Age_30-44,Age_45-59,Age_60-74,Age_75+,Time_of_survey_1991,Time_of_survey_1992,Schooling_Basic,Schooling_Basic_incomplete,Schooling_Intensive,Schooling_Medium,Schooling_Upper_medium,Region_East_Germany,Region_West_Germany,binaryClass
262,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
92,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
254,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
388,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
311,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
167,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
267,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
142,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
16,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
327,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
63,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
44,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
15,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
350,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
115,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
321,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
57,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
186,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
103,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
140,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
182,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
77,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
392,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
382,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
156,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
275,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
243,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
346,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
81,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
108,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
353,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
143,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
133,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
266,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
339,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
150,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
32,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
104,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
94,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
265,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
