,Row,Group,binaryClass,Year_1983,Year_1984,Year_1985,Year_1986,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991
440,25.0,7.0,1,0,0,0,0,0,0,0,0,1
93,42.0,11.0,0,0,1,0,0,0,0,0,0,0
457,42.0,11.0,1,0,0,0,0,0,0,0,0,1
73,22.0,6.0,1,0,1,0,0,0,0,0,0,0
236,29.0,8.0,1,0,0,0,0,1,0,0,0,0
444,29.0,8.0,1,0,0,0,0,0,0,0,0,1
363,52.0,13.0,0,0,0,0,0,0,0,1,0,0
382,19.0,5.0,1,0,0,0,0,0,0,0,1,0
212,5.0,2.0,0,0,0,0,0,1,0,0,0,0
158,3.0,1.0,0,0,0,0,1,0,0,0,0,0
446,31.0,8.0,1,0,0,0,0,0,0,0,0,1
103,52.0,13.0,0,0,1,0,0,0,0,0,0,0
276,17.0,5.0,0,0,0,0,0,0,1,0,0,0
265,6.0,2.0,0,0,0,0,0,0,1,0,0,0
448,33.0,9.0,1,0,0,0,0,0,0,0,0,1
138,35.0,9.0,0,0,0,1,0,0,0,0,0,0
198,43.0,11.0,0,0,0,0,1,0,0,0,0,0
72,21.0,6.0,1,0,1,0,0,0,0,0,0,0
60,9.0,3.0,1,0,1,0,0,0,0,0,0,0
401,38.0,10.0,1,0,0,0,0,0,0,0,1,0
51,52.0,13.0,0,1,0,0,0,0,0,0,0,0
369,6.0,2.0,1,0,0,0,0,0,0,0,1,0
129,26.0,7.0,1,0,0,1,0,0,0,0,0,0
461,46.0,12.0,1,0,0,0,0,0,0,0,0,1
240,33.0,9.0,1,0,0,0,0,1,0,0,0,0
336,25.0,7.0,0,0,0,0,0,0,0,1,0,0
139,36.0,9.0,0,0,0,1,0,0,0,0,0,0
7,8.0,2.0,0,1,0,0,0,0,0,0,0,0
21,22.0,6.0,1,1,0,0,0,0,0,0,0,0
234,27.0,7.0,1,0,0,0,0,1,0,0,0,0
335,24.0,6.0,0,0,0,0,0,0,0,1,0,0
45,46.0,12.0,0,1,0,0,0,0,0,0,0,0
106,3.0,1.0,0,0,0,1,0,0,0,0,0,0
4,5.0,2.0,1,1,0,0,0,0,0,0,0,0
112,9.0,3.0,0,0,0,1,0,0,0,0,0,0
141,38.0,10.0,1,0,0,1,0,0,0,0,0,0
174,19.0,5.0,0,0,0,0,1,0,0,0,0,0
126,23.0,6.0,0,0,0,1,0,0,0,0,0,0
101,50.0,13.0,0,0,1,0,0,0,0,0,0,0
122,19.0,5.0,0,0,0,1,0,0,0,0,0,0
292,33.0,9.0,0,0,0,0,0,0,1,0,0,0
364,1.0,1.0,0,0,0,0,0,0,0,0,1,0
282,23.0,6.0,0,0,0,0,0,0,1,0,0,0
55,4.0,1.0,1,0,1,0,0,0,0,0,0,0
33,34.0,9.0,1,1,0,0,0,0,0,0,0,0
374,11.0,3.0,1,0,0,0,0,0,0,0,1,0
156,1.0,1.0,0,0,0,0,1,0,0,0,0,0
178,23.0,6.0,0,0,0,0,1,0,0,0,0,0
243,36.0,9.0,1,0,0,0,0,1,0,0,0,0
22,23.0,6.0,1,1,0,0,0,0,0,0,0,0
104,1.0,1.0,0,0,0,1,0,0,0,0,0,0
153,50.0,13.0,0,0,0,1,0,0,0,0,0,0
294,35.0,9.0,1,0,0,0,0,0,1,0,0,0
160,5.0,2.0,1,0,0,0,1,0,0,0,0,0
387,24.0,6.0,1,0,0,0,0,0,0,0,1,0
367,4.0,1.0,0,0,0,0,0,0,0,0,1,0
390,27.0,7.0,1,0,0,0,0,0,0,0,1,0
395,32.0,8.0,0,0,0,0,0,0,0,0,1,0
31,32.0,8.0,1,1,0,0,0,0,0,0,0,0
423,8.0,2.0,1,0,0,0,0,0,0,0,0,1
20,21.0,6.0,0,1,0,0,0,0,0,0,0,0
14,15.0,4.0,1,1,0,0,0,0,0,0,0,0
227,20.0,5.0,1,0,0,0,0,1,0,0,0,0
200,45.0,12.0,0,0,0,0,1,0,0,0,0,0
267,8.0,2.0,0,0,0,0,0,0,1,0,0,0
217,10.0,3.0,0,0,0,0,0,1,0,0,0,0
124,21.0,6.0,0,0,0,1,0,0,0,0,0,0
146,43.0,11.0,1,0,0,1,0,0,0,0,0,0
50,51.0,13.0,0,1,0,0,0,0,0,0,0,0
36,37.0,10.0,1,1,0,0,0,0,0,0,0,0
148,45.0,12.0,1,0,0,1,0,0,0,0,0,0
203,48.0,12.0,0,0,0,0,1,0,0,0,0,0
366,3.0,1.0,1,0,0,0,0,0,0,0,1,0
255,48.0,12.0,0,0,0,0,0,1,0,0,0,0
381,18.0,5.0,1,0,0,0,0,0,0,0,1,0
125,22.0,6.0,1,0,0,1,0,0,0,0,0,0
6,7.0,2.0,0,1,0,0,0,0,0,0,0,0
417,2.0,1.0,1,0,0,0,0,0,0,0,0,1
370,7.0,2.0,1,0,0,0,0,0,0,0,1,0
213,6.0,2.0,1,0,0,0,0,1,0,0,0,0
338,27.0,7.0,0,0,0,0,0,0,0,1,0,0
321,10.0,3.0,0,0,0,0,0,0,0,1,0,0
99,48.0,12.0,1,0,1,0,0,0,0,0,0,0
349,38.0,10.0,0,0,0,0,0,0,0,1,0,0
16,17.0,5.0,0,1,0,0,0,0,0,0,0,0
260,1.0,1.0,0,0,0,0,0,0,1,0,0,0
26,27.0,7.0,1,1,0,0,0,0,0,0,0,0
154,51.0,13.0,0,0,0,1,0,0,0,0,0,0
300,41.0,11.0,1,0,0,0,0,0,1,0,0,0
100,49.0,13.0,1,0,1,0,0,0,0,0,0,0
5,6.0,2.0,1,1,0,0,0,0,0,0,0,0
194,39.0,10.0,0,0,0,0,1,0,0,0,0,0
416,1.0,1.0,1,0,0,0,0,0,0,0,0,1
132,29.0,8.0,1,0,0,1,0,0,0,0,0,0
333,22.0,6.0,0,0,0,0,0,0,0,1,0,0
418,3.0,1.0,1,0,0,0,0,0,0,0,0,1
220,13.0,4.0,0,0,0,0,0,1,0,0,0,0
49,50.0,13.0,0,1,0,0,0,0,0,0,0,0
304,45.0,12.0,1,0,0,0,0,0,1,0,0,0
258,51.0,13.0,0,0,0,0,0,1,0,0,0,0
202,47.0,12.0,0,0,0,0,1,0,0,0,0,0
46,47.0,12.0,0,1,0,0,0,0,0,0,0,0
151,48.0,12.0,0,0,0,1,0,0,0,0,0,0
9,10.0,3.0,0,1,0,0,0,0,0,0,0,0
327,16.0,4.0,0,0,0,0,0,0,0,1,0,0
223,16.0,4.0,1,0,0,0,0,1,0,0,0,0
429,14.0,4.0,1,0,0,0,0,0,0,0,0,1
380,17.0,5.0,1,0,0,0,0,0,0,0,1,0
438,23.0,6.0,1,0,0,0,0,0,0,0,0,1
169,14.0,4.0,0,0,0,0,1,0,0,0,0,0
314,3.0,1.0,0,0,0,0,0,0,0,1,0,0
433,18.0,5.0,1,0,0,0,0,0,0,0,0,1
187,32.0,8.0,0,0,0,0,1,0,0,0,0,0
319,8.0,2.0,0,0,0,0,0,0,0,1,0,0
392,29.0,8.0,1,0,0,0,0,0,0,0,1,0
346,35.0,9.0,0,0,0,0,0,0,0,1,0,0
11,12.0,3.0,0,1,0,0,0,0,0,0,0,0
42,43.0,11.0,1,1,0,0,0,0,0,0,0,0
257,50.0,13.0,0,0,0,0,0,1,0,0,0,0
88,37.0,10.0,1,0,1,0,0,0,0,0,0,0
77,26.0,7.0,1,0,1,0,0,0,0,0,0,0
136,33.0,9.0,1,0,0,1,0,0,0,0,0,0
128,25.0,7.0,1,0,0,1,0,0,0,0,0,0
176,21.0,6.0,0,0,0,0,1,0,0,0,0,0
164,9.0,3.0,0,0,0,0,1,0,0,0,0,0
86,35.0,9.0,1,0,1,0,0,0,0,0,0,0
172,17.0,5.0,0,0,0,0,1,0,0,0,0,0
0,1.0,1.0,0,1,0,0,0,0,0,0,0,0
37,38.0,10.0,1,1,0,0,0,0,0,0,0,0
362,51.0,13.0,0,0,0,0,0,0,0,1,0,0
263,4.0,1.0,0,0,0,0,0,0,1,0,0,0
289,30.0,8.0,0,0,0,0,0,0,1,0,0,0
283,24.0,6.0,0,0,0,0,0,0,1,0,0,0
277,18.0,5.0,0,0,0,0,0,0,1,0,0,0
422,7.0,2.0,1,0,0,0,0,0,0,0,0,1
163,8.0,2.0,0,0,0,0,1,0,0,0,0,0
388,25.0,7.0,1,0,0,0,0,0,0,0,1,0
92,41.0,11.0,1,0,1,0,0,0,0,0,0,0
386,23.0,6.0,1,0,0,0,0,0,0,0,1,0
445,30.0,8.0,1,0,0,0,0,0,0,0,0,1
228,21.0,6.0,1,0,0,0,0,1,0,0,0,0
274,15.0,4.0,0,0,0,0,0,0,1,0,0,0
159,4.0,1.0,1,0,0,0,1,0,0,0,0,0
207,52.0,13.0,0,0,0,0,1,0,0,0,0,0
247,40.0,10.0,1,0,0,0,0,1,0,0,0,0
135,32.0,8.0,1,0,0,1,0,0,0,0,0,0
312,1.0,1.0,0,0,0,0,0,0,0,1,0,0
428,13.0,4.0,1,0,0,0,0,0,0,0,0,1
171,16.0,4.0,0,0,0,0,1,0,0,0,0,0
230,23.0,6.0,1,0,0,0,0,1,0,0,0,0
233,26.0,7.0,1,0,0,0,0,1,0,0,0,0
310,51.0,13.0,0,0,0,0,0,0,1,0,0,0
215,8.0,2.0,0,0,0,0,0,1,0,0,0,0
115,12.0,3.0,0,0,0,1,0,0,0,0,0,0
209,2.0,1.0,0,0,0,0,0,1,0,0,0,0
405,42.0,11.0,1,0,0,0,0,0,0,0,1,0
285,26.0,7.0,0,0,0,0,0,0,1,0,0,0
291,32.0,8.0,0,0,0,0,0,0,1,0,0,0
249,42.0,11.0,0,0,0,0,0,1,0,0,0,0
352,41.0,11.0,0,0,0,0,0,0,0,1,0,0
426,11.0,3.0,1,0,0,0,0,0,0,0,0,1
343,32.0,8.0,0,0,0,0,0,0,0,1,0,0
315,4.0,1.0,0,0,0,0,0,0,0,1,0,0
361,50.0,13.0,0,0,0,0,0,0,0,1,0,0
