,V1,V2,V3,V4,Class
177,4.0,5.0,1250.0,33.0,0
700,16.0,3.0,750.0,35.0,1
633,12.0,15.0,3750.0,71.0,1
310,11.0,5.0,1250.0,38.0,1
93,4.0,2.0,500.0,4.0,1
80,4.0,6.0,1500.0,23.0,0
369,16.0,5.0,1250.0,40.0,0
722,21.0,3.0,750.0,40.0,1
182,2.0,4.0,1000.0,35.0,1
459,21.0,1.0,250.0,21.0,1
725,21.0,1.0,250.0,21.0,1
261,11.0,14.0,3500.0,73.0,0
631,2.0,2.0,500.0,22.0,1
415,16.0,1.0,250.0,16.0,1
613,4.0,1.0,250.0,4.0,1
740,23.0,1.0,250.0,23.0,1
531,2.0,4.0,1000.0,14.0,0
188,8.0,15.0,3750.0,77.0,1
137,2.0,12.0,3000.0,98.0,1
47,2.0,2.0,500.0,2.0,1
524,4.0,9.0,2250.0,28.0,1
375,11.0,3.0,750.0,40.0,0
438,23.0,14.0,3500.0,93.0,1
650,9.0,1.0,250.0,9.0,1
517,4.0,33.0,8250.0,98.0,0
584,2.0,1.0,250.0,2.0,1
29,4.0,8.0,2000.0,21.0,1
91,4.0,2.0,500.0,4.0,1
615,4.0,1.0,250.0,4.0,1
401,23.0,5.0,1250.0,33.0,1
215,4.0,1.0,250.0,4.0,0
68,4.0,7.0,1750.0,25.0,1
40,2.0,13.0,3250.0,53.0,0
0,2.0,50.0,12500.0,98.0,0
479,23.0,1.0,250.0,23.0,1
736,23.0,1.0,250.0,23.0,1
436,21.0,2.0,500.0,25.0,1
349,11.0,1.0,250.0,11.0,1
494,23.0,2.0,500.0,87.0,1
343,11.0,1.0,250.0,11.0,1
666,11.0,1.0,250.0,11.0,1
336,11.0,3.0,750.0,28.0,1
683,11.0,3.0,750.0,37.0,1
114,2.0,12.0,3000.0,82.0,1
333,11.0,7.0,1750.0,62.0,0
381,14.0,1.0,250.0,14.0,1
667,11.0,1.0,250.0,11.0,0
2,1.0,16.0,4000.0,35.0,0
570,2.0,6.0,1500.0,47.0,1
466,23.0,4.0,1000.0,45.0,1
46,2.0,9.0,2250.0,36.0,1
430,9.0,2.0,500.0,52.0,1
675,16.0,3.0,750.0,23.0,1
437,14.0,3.0,750.0,52.0,1
593,9.0,11.0,2750.0,49.0,0
244,9.0,2.0,500.0,11.0,1
410,16.0,1.0,250.0,16.0,1
272,7.0,2.0,500.0,16.0,1
668,11.0,1.0,250.0,11.0,1
287,9.0,2.0,500.0,16.0,0
360,14.0,6.0,1500.0,51.0,1
94,12.0,11.0,2750.0,23.0,1
41,2.0,5.0,1250.0,16.0,1
502,2.0,34.0,8500.0,77.0,0
719,23.0,8.0,2000.0,69.0,1
202,6.0,2.0,500.0,11.0,0
376,14.0,5.0,1250.0,50.0,1
564,4.0,14.0,3500.0,86.0,1
367,14.0,4.0,1000.0,38.0,1
342,11.0,6.0,1500.0,58.0,1
473,14.0,3.0,750.0,83.0,1
690,14.0,1.0,250.0,14.0,1
142,4.0,3.0,750.0,16.0,1
703,16.0,1.0,250.0,16.0,1
194,2.0,2.0,500.0,14.0,1
594,5.0,11.0,2750.0,75.0,1
42,2.0,5.0,1250.0,16.0,0
259,12.0,12.0,3000.0,58.0,1
453,21.0,1.0,250.0,21.0,1
419,16.0,2.0,500.0,26.0,1
385,14.0,7.0,1750.0,72.0,1
530,4.0,5.0,1250.0,16.0,0
713,16.0,6.0,1500.0,81.0,1
445,21.0,3.0,750.0,35.0,1
492,23.0,4.0,1000.0,87.0,1
423,21.0,2.0,500.0,23.0,1
66,2.0,4.0,1000.0,14.0,0
518,3.0,10.0,2500.0,33.0,0
361,11.0,2.0,500.0,24.0,1
250,11.0,2.0,500.0,11.0,1
307,11.0,3.0,750.0,23.0,1
617,4.0,1.0,250.0,4.0,1
723,23.0,2.0,500.0,28.0,1
122,2.0,6.0,1500.0,41.0,0
601,4.0,6.0,1500.0,46.0,1
241,11.0,22.0,5500.0,98.0,1
467,21.0,4.0,1000.0,52.0,1
450,23.0,3.0,750.0,33.0,1
628,2.0,5.0,1250.0,63.0,1
109,2.0,10.0,2500.0,64.0,1
603,14.0,8.0,2000.0,26.0,1
230,4.0,1.0,250.0,4.0,1
716,21.0,2.0,500.0,26.0,1
495,35.0,3.0,750.0,64.0,1
510,4.0,4.0,1000.0,4.0,0
637,14.0,7.0,1750.0,35.0,1
87,4.0,2.0,500.0,4.0,1
7,1.0,12.0,3000.0,35.0,1
356,16.0,6.0,1500.0,40.0,1
116,2.0,7.0,1750.0,46.0,0
390,11.0,4.0,1000.0,58.0,1
338,11.0,1.0,250.0,11.0,0
201,4.0,7.0,1750.0,58.0,1
285,11.0,2.0,500.0,14.0,1
654,14.0,3.0,750.0,21.0,1
374,14.0,4.0,1000.0,40.0,1
468,22.0,1.0,250.0,22.0,0
606,2.0,7.0,1750.0,77.0,1
32,4.0,10.0,2500.0,28.0,0
124,2.0,4.0,1000.0,26.0,1
663,11.0,8.0,2000.0,72.0,1
339,9.0,3.0,750.0,34.0,1
696,14.0,3.0,750.0,35.0,1
503,2.0,44.0,11000.0,98.0,1
81,2.0,4.0,1000.0,16.0,1
