,Age,Civil,Can/US,binaryClass
33,40.49625,18.48409,10.502372,1
564,77.10145,14.647454,6.467892,1
249,56.08272,9.117295,9.54956,0
615,48.50531,19.365829,11.877841,0
201,56.18342,19.764625,9.655405,0
641,68.08147,19.04463,8.047868,0
282,53.79924,17.374673,11.032784,0
433,18.27521,27.34873,18.561808,0
117,29.53164,26.062636,12.482617,1
349,37.702111,21.815332,7.948505,0
464,23.95267,15.09525,14.38896,1
619,57.83596,16.314343,9.968451,1
339,61.537254,18.123506,13.600122,0
140,33.425,9.858587,11.561,0
512,30.430737,22.638182,5.663128,0
505,50.588751,19.152026,14.060567,1
168,49.2282,18.87763,5.693897,0
452,27.29062,16.04529,15.176352,1
243,56.63624,19.480145,10.009363,0
80,48.65152,13.79837,11.043041,0
31,38.11056,23.03169,9.639585,0
273,56.34068,18.495879,10.239097,0
20,70.19353,22.46233,4.892901,0
292,51.52365,16.488702,8.866583,0
509,46.376506,18.112076,9.090305,0
255,44.6705,13.013095,11.083303,0
58,37.19417,19.13134,4.167812,0
377,20.994177,13.4095,9.348687,0
28,59.90858,25.38729,8.250439,0
41,29.6662,21.65633,12.43705,0
295,46.40014,15.871355,13.217841,0
342,44.575691,18.59042,14.474273,1
629,34.92234,18.951826,16.320063,1
354,54.833779,24.631784,8.85007,0
503,86.15606,18.303634,7.499937,1
86,44.05678,21.30771,10.108403,0
79,53.39722,27.6194,17.945732,0
631,69.08822,13.728346,9.731159,1
27,50.25041,18.48134,9.246144,1
191,16.96162,9.443276,12.299489,1
417,23.083084,16.53434,7.839444,1
416,26.724723,16.63084,10.89221,1
68,66.16185,20.98436,7.962789,0
278,33.34112,24.880353,9.491382,0
388,20.866193,21.28182,8.035223,1
468,29.25999,21.56296,11.896937,1
143,38.76935,21.933416,10.116841,0
607,30.06054,20.066516,10.442096,1
647,30.23897,25.419706,2.182963,1
173,39.05817,23.198735,10.64464,1
306,39.88428,21.290869,8.125732,0
392,46.784328,16.46988,5.681144,0
229,43.17981,16.219139,7.874239,1
330,51.668536,19.338263,13.033627,0
64,35.95761,20.01411,6.456081,1
644,51.5556,11.401461,6.831264,1
639,35.39177,16.140709,11.041448,0
283,13.59649,15.039345,11.407595,1
169,54.09913,11.926927,13.698176,0
517,20.99411,17.007057,8.010941,0
327,28.31919,20.562393,10.749802,1
502,45.097208,19.530274,12.321717,1
362,38.776982,20.935976,7.308879,0
586,25.02718,17.850375,8.595224,0
425,26.47049,20.30755,14.077052,1
144,38.16749,18.797032,7.077623,0
164,41.7808,15.801459,13.842197,0
380,28.936021,19.73811,5.330771,0
98,24.24785,12.435849,6.313998,0
132,49.88762,30.529624,9.423292,0
52,67.78167,17.01638,11.967506,1
137,54.98171,21.274295,8.780093,0
429,21.63563,15.08279,18.707518,1
360,38.34872,20.115872,6.357838,0
284,14.7543,17.694784,12.241643,1
126,43.89838,17.414551,9.249423,1
531,49.37667,27.691001,7.417728,0
184,36.37065,14.117194,6.615176,1
584,28.58244,9.209814,5.58556,0
568,44.44302,11.716268,12.153175,1
56,29.95373,11.29584,5.509431,0
646,58.77503,19.508409,10.812176,1
154,39.1668,21.347435,7.0454,1
268,36.84536,22.482558,10.151361,0
473,36.300523,15.52495,12.242178,0
202,42.23851,18.262393,6.860709,1
633,93.99088,17.748609,7.658539,1
461,61.86951,19.48501,14.57212,0
357,35.369382,15.321262,11.044151,0
600,81.24273,9.956637,9.906852,1
573,35.42258,22.714996,14.246619,0
426,14.95756,15.08539,8.628354,1
196,52.03409,22.92203,9.673463,1
390,18.580605,18.77649,9.997123,1
610,41.31913,14.560575,10.641538,1
493,44.535781,19.933738,9.269058,0
337,36.859204,19.695427,10.726029,1
450,61.99243,24.4621,13.609738,1
651,55.96206,16.219207,8.72461,1
445,32.1545,20.69193,15.137548,0
526,24.58886,17.257963,4.763597,0
533,75.68029,14.826716,6.748968,1
230,52.22239,17.289051,8.011162,0
385,50.132516,22.2314,6.113176,0
19,40.88956,16.8964,7.623984,0
547,57.65047,10.171183,9.313752,0
124,36.29126,19.428858,7.082709,0
293,60.53169,20.297668,6.559844,0
487,38.059759,26.330296,11.280215,1
112,40.59795,24.29844,11.505016,0
192,24.55376,17.227336,11.72417,0
240,43.51311,23.198537,8.001716,0
353,8.298575,19.093052,6.019185,1
65,55.38179,21.8412,9.043536,0
90,39.07306,18.61345,7.68082,0
507,48.699192,14.719281,11.464069,1
514,37.268946,18.540374,7.901016,0
44,44.89563,23.35907,9.4516,1
274,38.36676,18.280234,16.752202,1
399,39.548062,17.68086,6.422131,0
323,38.28696,12.825075,10.941141,1
556,66.49071,13.768118,15.073683,1
