,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,binaryClass
6,1979.0,0,0,0,0,0,1,0,0,0,0,0,0,0
192,1995.0,0,0,0,0,1,0,0,0,0,0,0,0,0
43,1982.0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,1996.0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,1994.0,0,0,0,0,1,0,0,0,0,0,0,0,0
242,1999.0,0,0,0,0,0,0,0,1,0,0,0,0,1
188,1994.0,0,0,0,0,0,0,0,0,0,0,0,1,1
149,1991.0,0,0,0,0,0,0,1,0,0,0,0,0,1
161,1992.0,0,0,0,0,0,0,1,0,0,0,0,0,1
110,1988.0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,1985.0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,1991.0,0,0,1,0,0,0,0,0,0,0,0,0,0
226,1997.0,0,0,0,0,0,0,0,0,0,1,0,0,0
183,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,1
221,1997.0,0,0,0,0,0,0,1,0,0,0,0,0,1
123,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,1
89,1986.0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,1989.0,0,0,0,0,0,1,0,0,0,0,0,0,1
174,1993.0,0,0,0,0,0,1,0,0,0,0,0,0,1
38,1982.0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1983.0,0,0,0,0,0,0,0,0,0,0,1,0,0
186,1994.0,0,0,0,0,0,1,0,0,0,0,0,0,1
201,1995.0,0,0,0,0,0,0,0,0,0,0,1,0,1
104,1987.0,0,0,0,0,0,0,0,0,0,0,0,1,0
176,1993.0,0,0,0,0,0,0,0,0,0,0,0,1,1
131,1989.0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,1992.0,0,0,0,1,0,0,0,0,0,0,0,0,0
209,1996.0,0,0,0,0,0,0,1,0,0,0,0,0,1
231,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,1
70,1984.0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,1979.0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,1987.0,0,1,0,0,0,0,0,0,0,0,0,0,1
138,1990.0,0,0,0,0,0,1,0,0,0,0,0,0,1
261,2000.0,0,0,0,0,0,0,0,0,0,0,1,0,1
125,1989.0,0,0,0,0,0,0,1,0,0,0,0,0,1
195,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,1
260,2000.0,0,0,0,0,0,0,0,0,0,0,0,1,1
178,1993.0,0,0,0,0,0,0,0,0,0,1,0,0,0
81,1985.0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,1985.0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,1980.0,0,0,0,1,0,0,0,0,0,0,0,0,0
263,2000.0,0,0,1,0,0,0,0,0,0,0,0,0,0
258,2000.0,0,0,0,0,0,1,0,0,0,0,0,0,1
111,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,1981.0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,1994.0,0,1,0,0,0,0,0,0,0,0,0,0,1
25,1981.0,0,0,0,1,0,0,0,0,0,0,0,0,0
208,1996.0,0,0,0,0,0,0,0,0,1,0,0,0,1
101,1987.0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,1980.0,0,0,0,0,0,0,0,1,0,0,0,0,0
