dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Banknote,1115,var,mult,0.5,True,False,0.1,32,0.9681093096733092,0.91 +- 0.048,0.9589040875434875,0.912 +- 0.046,0.91,0.912,0.058109309673309184,0.046904087543487516,0.046904087543487516,0.91
Banknote,128,l1,loss,1.0,True,False,0.001,64,0.9726651310920716,0.909 +- 0.044,0.9634703397750854,0.912 +- 0.044,0.909,0.912,0.06366513109207161,0.051470339775085416,0.051470339775085416,0.909
Banknote,504,l2,avg,1.0,False,False,0.1,64,0.980637788772583,0.909 +- 0.042,0.9726027250289916,0.912 +- 0.041,0.909,0.912,0.07163778877258298,0.060602725028991555,0.060602725028991555,0.909
Banknote,1055,var,avg,0.5,False,False,0.1,32,0.9715262055397034,0.908 +- 0.038,0.9634703397750854,0.909 +- 0.047,0.908,0.909,0.06352620553970334,0.05447033977508542,0.05447033977508542,0.908
Banknote,345,l2,None,1.0,True,False,0.01,32,0.9715262055397034,0.909 +- 0.038,0.9680365324020386,0.908 +- 0.042,0.909,0.908,0.06252620553970334,0.060036532402038545,0.060036532402038545,0.908
Banknote,46,l1,None,0.5,False,False,0.01,64,0.9897494316101074,0.911 +- 0.045,0.9771689772605896,0.908 +- 0.05,0.911,0.908,0.07874943161010739,0.06916897726058957,0.06916897726058957,0.908
Banknote,420,l2,loss,1.0,True,False,0.1,64,0.981776773929596,0.907 +- 0.053,0.9771689772605896,0.92 +- 0.051,0.907,0.92,0.07477677392959592,0.05716897726058956,0.05716897726058956,0.907
Banknote,576,l2,mult,1.0,False,False,0.1,64,0.9726651310920716,0.907 +- 0.04,0.9680365324020386,0.91 +- 0.049,0.907,0.91,0.06566513109207162,0.05803653240203854,0.05803653240203854,0.907
Banknote,552,l2,mult,0.5,False,False,0.1,64,0.982915699481964,0.907 +- 0.041,0.9726027250289916,0.909 +- 0.049,0.907,0.909,0.07591569948196397,0.06360272502899156,0.06360272502899156,0.907
Banknote,396,l2,loss,0.5,True,False,0.1,64,0.9851936101913452,0.907 +- 0.051,0.9771689772605896,0.912 +- 0.052,0.907,0.912,0.07819361019134519,0.06516897726058957,0.06516897726058957,0.907
Banknote,47,l1,None,0.5,False,False,0.1,32,0.9863325953483582,0.907 +- 0.042,0.9771689772605896,0.909 +- 0.044,0.907,0.909,0.07933259534835813,0.06816897726058957,0.06816897726058957,0.907
Banknote,550,l2,mult,0.5,False,False,0.01,64,0.9920273423194884,0.907 +- 0.044,0.9863013625144958,0.916 +- 0.046,0.907,0.916,0.08502734231948839,0.07030136251449581,0.07030136251449581,0.907
Banknote,575,l2,mult,1.0,False,False,0.1,32,0.984054684638977,0.906 +- 0.046,0.9771689772605896,0.916 +- 0.053,0.906,0.916,0.07805468463897702,0.06116897726058956,0.06116897726058956,0.906
Banknote,263,l1,mult,0.5,False,False,0.1,32,0.9772209525108336,0.906 +- 0.042,0.9726027250289916,0.911 +- 0.047,0.906,0.911,0.0712209525108336,0.061602725028991556,0.061602725028991556,0.906
Banknote,192,l1,avg,0.5,False,False,0.1,64,0.984054684638977,0.905 +- 0.046,0.9771689772605896,0.912 +- 0.048,0.905,0.912,0.07905468463897702,0.06516897726058957,0.06516897726058957,0.905
Banknote,333,l2,None,0.5,False,False,0.01,32,0.9863325953483582,0.905 +- 0.048,0.9726027250289916,0.906 +- 0.049,0.905,0.906,0.08133259534835813,0.06660272502899156,0.06660272502899156,0.905
Banknote,540,l2,mult,0.5,True,False,0.1,64,0.9886105060577391,0.905 +- 0.052,0.9771689772605896,0.91 +- 0.053,0.905,0.91,0.08361050605773912,0.06716897726058957,0.06716897726058957,0.905
Banknote,249,l1,mult,0.5,True,False,0.01,32,0.9908883571624756,0.908 +- 0.048,0.9771689772605896,0.905 +- 0.05,0.908,0.905,0.08288835716247556,0.07216897726058957,0.07216897726058957,0.905
Banknote,708,max,loss,1.0,True,False,0.1,64,0.9908883571624756,0.905 +- 0.048,0.9863013625144958,0.908 +- 0.048,0.905,0.908,0.08588835716247556,0.07830136251449582,0.07830136251449582,0.905
Banknote,1128,var,mult,0.5,False,False,0.1,64,0.9794988632202148,0.904 +- 0.032,0.9771689772605896,0.913 +- 0.046,0.904,0.913,0.07549886322021482,0.06416897726058957,0.06416897726058957,0.904
Banknote,563,l2,mult,1.0,True,False,0.1,32,0.9760820269584656,0.903 +- 0.044,0.9726027250289916,0.914 +- 0.045,0.903,0.914,0.07308202695846555,0.058602725028991554,0.058602725028991554,0.903
Banknote,419,l2,loss,1.0,True,False,0.1,32,0.9783599376678468,0.903 +- 0.039,0.9726027250289916,0.91 +- 0.046,0.903,0.91,0.07535993766784677,0.06260272502899156,0.06260272502899156,0.903
Banknote,984,var,loss,0.5,False,False,0.1,64,0.9703872203826904,0.902 +- 0.037,0.9680365324020386,0.912 +- 0.037,0.902,0.912,0.0683872203826904,0.05603653240203854,0.05603653240203854,0.902
Banknote,180,l1,avg,0.5,True,False,0.1,64,0.9874715209007264,0.902 +- 0.053,0.9771689772605896,0.91 +- 0.05,0.902,0.91,0.0854715209007264,0.06716897726058957,0.06716897726058957,0.902
Banknote,851,max,mult,1.0,True,False,0.1,32,0.9897494316101074,0.903 +- 0.049,0.9817351698875428,0.902 +- 0.042,0.903,0.902,0.0867494316101074,0.07973516988754281,0.07973516988754281,0.902
Banknote,561,l2,mult,1.0,True,False,0.01,32,0.96469247341156,0.901 +- 0.038,0.9589040875434875,0.909 +- 0.041,0.901,0.909,0.06369247341155992,0.04990408754348752,0.04990408754348752,0.901
Banknote,755,max,avg,0.5,True,False,0.1,32,0.9954441785812378,0.901 +- 0.048,0.9863013625144958,0.905 +- 0.045,0.901,0.905,0.09444417858123777,0.08130136251449582,0.08130136251449582,0.901
Banknote,283,l1,mult,1.0,False,False,0.001,32,0.9715262055397034,0.9 +- 0.051,0.9680365324020386,0.901 +- 0.065,0.9,0.901,0.07152620553970335,0.06703653240203855,0.06703653240203855,0.9
Banknote,359,l2,None,1.0,False,False,0.1,32,0.982915699481964,0.899 +- 0.045,0.9771689772605896,0.912 +- 0.052,0.899,0.912,0.08391569948196398,0.06516897726058957,0.06516897726058957,0.899
Banknote,34,l1,None,0.5,True,False,0.01,64,0.9931662678718568,0.899 +- 0.057,0.9817351698875428,0.913 +- 0.037,0.899,0.913,0.09416626787185678,0.0687351698875428,0.0687351698875428,0.899
Banknote,900,var,None,0.5,True,False,0.1,64,0.981776773929596,0.899 +- 0.054,0.9771689772605896,0.903 +- 0.049,0.899,0.903,0.08277677392959593,0.07416897726058957,0.07416897726058957,0.899
Banknote,636,max,None,1.0,True,False,0.1,64,0.9920273423194884,0.899 +- 0.05,0.9863013625144958,0.9 +- 0.047,0.899,0.9,0.09302734231948839,0.08630136251449583,0.08630136251449583,0.899
Banknote,72,l1,None,1.0,False,False,0.1,64,0.965831458568573,0.898 +- 0.048,0.9634703397750854,0.909 +- 0.043,0.898,0.909,0.06783145856857298,0.05447033977508542,0.05447033977508542,0.898
Banknote,191,l1,avg,0.5,False,False,0.1,32,0.9738041162490844,0.898 +- 0.046,0.9726027250289916,0.908 +- 0.049,0.898,0.908,0.07580411624908434,0.06460272502899156,0.06460272502899156,0.898
Banknote,780,max,avg,1.0,True,False,0.1,64,0.9943052530288696,0.9 +- 0.052,0.9863013625144958,0.898 +- 0.048,0.9,0.898,0.0943052530288696,0.08830136251449583,0.08830136251449583,0.898
Banknote,347,l2,None,1.0,True,False,0.1,32,0.984054684638977,0.897 +- 0.046,0.9771689772605896,0.913 +- 0.055,0.897,0.913,0.08705468463897703,0.06416897726058957,0.06416897726058957,0.897
Banknote,187,l1,avg,0.5,False,False,0.001,32,0.9897494316101074,0.897 +- 0.055,0.9863013625144958,0.905 +- 0.058,0.897,0.905,0.0927494316101074,0.08130136251449582,0.08130136251449582,0.897
Banknote,105,l1,loss,0.5,True,False,0.01,32,0.9738041162490844,0.896 +- 0.051,0.9680365324020386,0.912 +- 0.045,0.896,0.912,0.07780411624908434,0.05603653240203854,0.05603653240203854,0.896
Banknote,1116,var,mult,0.5,True,False,0.1,64,0.982915699481964,0.896 +- 0.03,0.9726027250289916,0.909 +- 0.053,0.896,0.909,0.08691569948196398,0.06360272502899156,0.06360272502899156,0.896
Banknote,431,l2,loss,1.0,False,False,0.1,32,0.982915699481964,0.896 +- 0.038,0.9771689772605896,0.902 +- 0.053,0.896,0.902,0.08691569948196398,0.07516897726058958,0.07516897726058958,0.896
Banknote,695,max,loss,0.5,False,False,0.1,32,0.9954441785812378,0.896 +- 0.057,0.9863013625144958,0.901 +- 0.047,0.896,0.901,0.09944417858123777,0.08530136251449583,0.08530136251449583,0.896
Banknote,323,l2,None,0.5,True,False,0.1,32,0.982915699481964,0.894 +- 0.066,0.9863013625144958,0.918 +- 0.044,0.894,0.918,0.08891569948196398,0.06830136251449581,0.06830136251449581,0.894
