dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Breast,34,l1,None,0.5,True,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.989 +- 0.002,0.989,0.989,1.0989665985228214e-05,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Breast,93,l1,loss,0.0,False,False,0.01,32,0.9917582273483276,0.99 +- 0.003,0.9890109896659852,0.989 +- 0.002,0.99,0.989,0.0017582273483276456,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Breast,250,l1,mult,0.5,True,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.989 +- 0.002,0.989,0.989,1.0989665985228214e-05,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Breast,514,l2,mult,0.0,True,False,0.01,64,0.9890109896659852,0.989 +- 0.003,0.9890109896659852,0.989 +- 0.002,0.989,0.989,1.0989665985228214e-05,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Breast,621,max,None,0.5,False,False,0.01,32,0.9917582273483276,0.99 +- 0.003,0.9890109896659852,0.989 +- 0.002,0.99,0.989,0.0017582273483276456,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Breast,633,max,None,1.0,True,False,0.01,32,0.9917582273483276,0.99 +- 0.002,0.9890109896659852,0.989 +- 0.002,0.99,0.989,0.0017582273483276456,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Breast,1150,var,mult,1.0,False,False,0.01,64,0.9890109896659852,0.99 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.99,0.988,-0.0009890103340147727,0.001010989665985229,-0.0009890103340147727,0.988
Breast,94,l1,loss,0.0,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,117,l1,loss,0.5,False,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.004,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,297,l2,None,0.0,True,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,298,l2,None,0.0,True,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,417,l2,loss,1.0,True,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,442,l2,avg,0.0,True,False,0.01,64,0.9890109896659852,0.989 +- 0.004,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,478,l2,avg,0.5,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.004,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,502,l2,avg,1.0,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,538,l2,mult,0.5,True,False,0.01,64,0.9890109896659852,0.989 +- 0.003,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,562,l2,mult,1.0,True,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.004,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,574,l2,mult,1.0,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.004,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,646,max,None,1.0,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,706,max,loss,1.0,True,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,718,max,loss,1.0,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Breast,742,max,avg,0.0,False,False,0.01,64,0.9890109896659852,0.989 +- 0.003,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
