dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Accent,460,l2,avg,0.5,True,True,0.01,64,0.8776556849479675,0.832 +- 0.03,0.8679245114326477,0.829 +- 0.037,0.832,0.829,0.04565568494796757,0.038924511432647746,0.038924511432647746,0.829
Accent,840,max,mult,0.5,False,False,0.1,64,0.8999999761581421,0.828 +- 0.025,0.8867924809455872,0.841 +- 0.03,0.828,0.841,0.07199997615814213,0.04579248094558719,0.04579248094558719,0.828
Accent,504,l2,avg,1.0,False,False,0.1,64,0.8904761672019958,0.86 +- 0.026,0.8867924809455872,0.824 +- 0.031,0.86,0.824,0.030476167201995863,0.0627924809455872,0.030476167201995863,0.824
Accent,1044,var,avg,0.5,True,False,0.1,64,0.8666666746139526,0.832 +- 0.034,0.8679245114326477,0.824 +- 0.036,0.832,0.824,0.034666674613952675,0.04392451143264775,0.034666674613952675,0.824
Accent,340,l2,None,1.0,True,True,0.01,64,0.8604395389556885,0.821 +- 0.027,0.8301886916160583,0.83 +- 0.034,0.821,0.83,0.039439538955688525,0.00018869161605838958,0.00018869161605838958,0.821
Accent,1119,var,mult,0.5,False,True,0.01,32,0.8604395389556885,0.819 +- 0.026,0.8679245114326477,0.821 +- 0.025,0.819,0.821,0.041439538955688526,0.04692451143264775,0.041439538955688526,0.819
Accent,328,l2,None,0.5,False,True,0.01,64,0.860805869102478,0.818 +- 0.027,0.8679245114326477,0.83 +- 0.024,0.818,0.83,0.04280586910247808,0.037924511432647745,0.037924511432647745,0.818
Accent,1050,var,avg,0.5,False,True,0.1,64,0.8527472615242004,0.816 +- 0.028,0.8679245114326477,0.841 +- 0.025,0.816,0.841,0.03674726152420049,0.026924511432647735,0.026924511432647735,0.816
Accent,1045,var,avg,0.5,False,True,0.001,32,0.860805869102478,0.821 +- 0.022,0.849056601524353,0.816 +- 0.025,0.821,0.816,0.039805869102478075,0.03305660152435308,0.03305660152435308,0.816
Accent,974,var,loss,0.5,False,True,0.001,64,0.8523809313774109,0.815 +- 0.025,0.8679245114326477,0.836 +- 0.029,0.815,0.836,0.03738093137741094,0.03192451143264774,0.03192451143264774,0.815
Accent,565,l2,mult,1.0,False,True,0.001,32,0.8611721396446228,0.821 +- 0.024,0.8679245114326477,0.813 +- 0.03,0.821,0.813,0.04017213964462285,0.05492451143264776,0.04017213964462285,0.813
Accent,1059,var,avg,1.0,True,True,0.01,32,0.8457875251770021,0.811 +- 0.019,0.849056601524353,0.822 +- 0.03,0.811,0.822,0.03478752517700201,0.027056601524353074,0.027056601524353074,0.811
Accent,849,max,mult,1.0,True,False,0.01,32,0.8857142925262451,0.82 +- 0.032,0.849056601524353,0.81 +- 0.042,0.82,0.81,0.06571429252624517,0.039056601524352974,0.039056601524352974,0.81
