dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Analcatdata_germangss,80,l2,loss,1.0,False,True,0.1,64,0.9233141541481018,0.904 +- 0.018,0.921875,0.898 +- 0.031,0.904,0.898,0.01931415414810178,0.02387499999999998,0.01931415414810178,0.898
Analcatdata_germangss,17,l1,loss,0.5,False,False,0.01,32,0.9375,0.922 +- 0.02,0.9375,0.896 +- 0.033,0.922,0.896,0.015499999999999958,0.04149999999999998,0.015499999999999958,0.896
Analcatdata_germangss,1,l1,None,0.5,False,False,0.01,32,0.9453125,0.921 +- 0.02,0.90625,0.895 +- 0.034,0.921,0.895,0.02431249999999996,0.011249999999999982,0.011249999999999982,0.895
Analcatdata_germangss,22,l1,loss,0.5,False,True,0.01,64,0.9175575375556946,0.904 +- 0.018,0.90625,0.892 +- 0.028,0.904,0.892,0.013557537555694554,0.014249999999999985,0.013557537555694554,0.892
Analcatdata_germangss,133,max,avg,0.5,False,True,0.01,32,0.9354440569877625,0.915 +- 0.017,0.890625,0.891 +- 0.041,0.915,0.891,0.020444056987762416,-0.0003750000000000142,-0.0003750000000000142,0.891
Analcatdata_germangss,37,l1,avg,0.5,False,True,0.01,32,0.9206414222717284,0.904 +- 0.019,0.90625,0.891 +- 0.029,0.904,0.891,0.01664142227172838,0.015249999999999986,0.015249999999999986,0.891
Analcatdata_germangss,21,l1,loss,0.5,False,True,0.01,32,0.9130345582962036,0.896 +- 0.018,0.875,0.89 +- 0.038,0.896,0.89,0.017034558296203595,-0.015000000000000013,-0.015000000000000013,0.89
Analcatdata_germangss,181,var,avg,0.5,False,True,0.01,32,0.928042769432068,0.909 +- 0.017,0.921875,0.888 +- 0.033,0.909,0.888,0.019042769432067952,0.03387499999999999,0.019042769432067952,0.888
Analcatdata_germangss,38,l1,avg,0.5,False,True,0.01,64,0.9231085777282716,0.905 +- 0.019,0.890625,0.887 +- 0.03,0.905,0.887,0.01810857772827157,0.0036249999999999893,0.0036249999999999893,0.887
Analcatdata_germangss,134,max,avg,0.5,False,True,0.01,64,0.939761519432068,0.921 +- 0.015,0.890625,0.887 +- 0.033,0.921,0.887,0.01876151943206794,0.0036249999999999893,0.0036249999999999893,0.887
Analcatdata_germangss,82,l2,avg,0.5,False,False,0.01,64,0.9609375,0.936 +- 0.019,0.90625,0.887 +- 0.027,0.936,0.887,0.024937499999999946,0.01924999999999999,0.01924999999999999,0.887
Analcatdata_germangss,89,l2,avg,1.0,False,False,0.01,32,0.953125,0.93 +- 0.021,0.90625,0.887 +- 0.03,0.93,0.887,0.02312499999999995,0.01924999999999999,0.01924999999999999,0.887
Analcatdata_germangss,132,max,avg,0.5,False,False,0.1,64,0.9375,0.915 +- 0.022,0.890625,0.885 +- 0.033,0.915,0.885,0.022499999999999964,0.005624999999999991,0.005624999999999991,0.885
Analcatdata_germangss,49,l2,None,0.5,False,False,0.01,32,0.96484375,0.935 +- 0.023,0.921875,0.885 +- 0.029,0.935,0.885,0.029843749999999947,0.03687499999999999,0.029843749999999947,0.885
Analcatdata_germangss,95,l2,avg,1.0,False,True,0.1,32,0.9002878069877625,0.884 +- 0.018,0.875,0.891 +- 0.039,0.884,0.891,0.016287806987762443,-0.016000000000000014,-0.016000000000000014,0.884
Analcatdata_germangss,86,l2,avg,0.5,False,True,0.01,64,0.9294819235801696,0.909 +- 0.017,0.875,0.884 +- 0.038,0.909,0.884,0.020481923580169537,-0.009000000000000008,-0.009000000000000008,0.884
Analcatdata_germangss,149,var,None,0.5,False,True,0.01,32,0.9362664222717284,0.917 +- 0.017,0.90625,0.884 +- 0.033,0.917,0.884,0.019266422271728367,0.022249999999999992,0.019266422271728367,0.884
Analcatdata_germangss,109,max,None,1.0,False,True,0.01,32,0.9446957111358644,0.924 +- 0.016,0.921875,0.884 +- 0.037,0.924,0.884,0.020695711135864325,0.03787499999999999,0.020695711135864325,0.884
Analcatdata_germangss,54,l2,None,0.5,False,True,0.01,64,0.9220805764198304,0.905 +- 0.017,0.921875,0.883 +- 0.029,0.905,0.883,0.017080576419830407,0.03887499999999999,0.017080576419830407,0.883
Analcatdata_germangss,57,l2,None,1.0,False,False,0.01,32,0.9453125,0.924 +- 0.022,0.90625,0.883 +- 0.025,0.924,0.883,0.021312499999999956,0.023249999999999993,0.021312499999999956,0.883
Analcatdata_germangss,70,l2,loss,0.5,False,True,0.01,64,0.9381167888641356,0.919 +- 0.017,0.890625,0.882 +- 0.03,0.919,0.882,0.019116788864135592,0.008624999999999994,0.008624999999999994,0.882
Analcatdata_germangss,125,max,loss,1.0,False,True,0.01,32,0.9459292888641356,0.925 +- 0.016,0.890625,0.879 +- 0.031,0.925,0.879,0.020929288864135587,0.011624999999999996,0.011624999999999996,0.879
Analcatdata_germangss,64,l2,None,1.0,False,True,0.1,64,0.9261924624443054,0.909 +- 0.018,0.90625,0.879 +- 0.034,0.909,0.879,0.01719246244430539,0.027249999999999996,0.01719246244430539,0.879
Analcatdata_germangss,150,var,None,0.5,False,True,0.01,64,0.9420230388641356,0.921 +- 0.018,0.90625,0.879 +- 0.029,0.921,0.879,0.02102303886413559,0.027249999999999996,0.02102303886413559,0.879
Analcatdata_germangss,113,max,loss,0.5,False,False,0.01,32,0.9609375,0.935 +- 0.022,0.859375,0.878 +- 0.034,0.935,0.878,0.025937499999999947,-0.018625000000000003,-0.018625000000000003,0.878
Analcatdata_germangss,69,l2,loss,0.5,False,True,0.01,32,0.9309210777282716,0.912 +- 0.017,0.875,0.878 +- 0.033,0.912,0.878,0.018921077728271563,-0.0030000000000000027,-0.0030000000000000027,0.878
Analcatdata_germangss,66,l2,loss,0.5,False,False,0.01,64,0.96484375,0.939 +- 0.023,0.890625,0.878 +- 0.035,0.939,0.878,0.025843750000000054,0.012624999999999997,0.012624999999999997,0.878
Analcatdata_germangss,76,l2,loss,1.0,False,False,0.1,64,0.921875,0.899 +- 0.023,0.890625,0.878 +- 0.037,0.899,0.878,0.02287499999999998,0.012624999999999997,0.012624999999999997,0.878
Analcatdata_germangss,6,l1,None,0.5,False,True,0.01,64,0.9368832111358644,0.919 +- 0.018,0.90625,0.878 +- 0.028,0.919,0.878,0.01788321113586433,0.028249999999999997,0.01788321113586433,0.878
Analcatdata_germangss,142,max,avg,1.0,False,True,0.01,64,0.9407894611358644,0.92 +- 0.016,0.921875,0.878 +- 0.037,0.92,0.878,0.02078946113586433,0.043875,0.02078946113586433,0.878
Analcatdata_germangss,191,var,avg,1.0,False,True,0.1,32,0.9159128069877625,0.895 +- 0.018,0.90625,0.878 +- 0.035,0.895,0.878,0.020912806987762433,0.028249999999999997,0.020912806987762433,0.878
