dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Climate,137,max,avg,1.0,False,False,0.01,32,0.921739101409912,0.921 +- 0.006,0.9195402264595032,0.919 +- 0.011,0.921,0.919,0.0007391014099119575,0.0005402264595031347,0.0005402264595031347,0.919
Climate,93,l2,avg,1.0,False,True,0.01,32,0.9240855574607848,0.92 +- 0.004,0.9195402264595032,0.918 +- 0.007,0.92,0.918,0.004085557460784761,0.0015402264595031356,0.0015402264595031356,0.918
Climate,66,l2,loss,0.5,False,False,0.01,64,0.921739101409912,0.926 +- 0.007,0.9195402264595032,0.917 +- 0.005,0.926,0.917,-0.004260898590088047,0.0025402264595031365,-0.004260898590088047,0.917
Climate,114,max,loss,0.5,False,False,0.01,64,0.9275362491607666,0.925 +- 0.008,0.8965517282485962,0.914 +- 0.015,0.925,0.914,0.002536249160766557,-0.017448271751403843,-0.017448271751403843,0.914
Climate,122,max,loss,1.0,False,False,0.01,64,0.9275362491607666,0.918 +- 0.007,0.9080459475517272,0.914 +- 0.006,0.918,0.914,0.009536249160766563,-0.005954052448272851,-0.005954052448272851,0.914
Climate,182,var,avg,0.5,False,True,0.01,64,0.9167701601982116,0.914 +- 0.002,0.9195402264595032,0.92 +- 0.0,0.914,0.92,0.0027701601982115243,-0.00045977354049686614,-0.00045977354049686614,0.914
Climate,85,l2,avg,0.5,False,True,0.01,32,0.9149758219718932,0.914 +- 0.002,0.9195402264595032,0.916 +- 0.005,0.914,0.916,0.0009758219718931649,0.0035402264595031374,0.0009758219718931649,0.914
Climate,141,max,avg,1.0,False,True,0.01,32,0.9175983667373656,0.916 +- 0.003,0.9195402264595032,0.914 +- 0.007,0.916,0.914,0.0015983667373655752,0.005540226459503139,0.0015983667373655752,0.914
Climate,185,var,avg,1.0,False,False,0.01,32,0.9188405871391296,0.913 +- 0.003,0.9195402264595032,0.92 +- 0.003,0.913,0.92,0.005840587139129605,-0.00045977354049686614,-0.00045977354049686614,0.913
Climate,50,l2,None,0.5,False,False,0.01,64,0.9159420132637024,0.913 +- 0.004,0.9195402264595032,0.919 +- 0.003,0.913,0.919,0.002942013263702359,0.0005402264595031347,0.0005402264595031347,0.913
Climate,58,l2,None,1.0,False,False,0.01,64,0.91304349899292,0.911 +- 0.003,0.9195402264595032,0.92 +- 0.0,0.911,0.92,0.002043498992920001,-0.00045977354049686614,-0.00045977354049686614,0.911
