dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Credit_g,81,l2,avg,0.5,False,False,0.01,32,0.8578125238418579,0.849 +- 0.008,0.7437499761581421,0.745 +- 0.018,0.849,0.745,0.008812523841857933,-0.0012500238418579057,-0.0012500238418579057,0.745
Credit_g,130,max,avg,0.5,False,False,0.01,64,0.8312500119209291,0.834 +- 0.007,0.7437499761581421,0.742 +- 0.02,0.834,0.742,-0.0027499880790708975,0.001749976158142097,-0.0027499880790708975,0.742
Credit_g,177,var,avg,0.5,False,False,0.01,32,0.8296874761581421,0.822 +- 0.007,0.7624999880790709,0.736 +- 0.018,0.822,0.736,0.007687476158142137,0.026499988079070946,0.007687476158142137,0.736
Credit_g,105,max,None,1.0,False,False,0.01,32,0.9031249880790709,0.888 +- 0.01,0.6875,0.731 +- 0.016,0.888,0.731,0.015124988079070922,-0.04349999999999998,-0.04349999999999998,0.731
Credit_g,106,max,None,1.0,False,False,0.01,64,0.907812476158142,0.888 +- 0.009,0.71875,0.731 +- 0.017,0.888,0.731,0.019812476158141967,-0.012249999999999983,-0.012249999999999983,0.731
Credit_g,50,l2,None,0.5,False,False,0.01,64,0.8390625119209291,0.833 +- 0.01,0.7437499761581421,0.731 +- 0.017,0.833,0.731,0.006062511920929103,0.012749976158142107,0.006062511920929103,0.731
Credit_g,114,max,loss,0.5,False,False,0.01,64,0.8703125119209291,0.871 +- 0.009,0.6937500238418579,0.73 +- 0.015,0.871,0.73,-0.0006874880790709303,-0.03624997615814207,-0.03624997615814207,0.73
Credit_g,97,max,None,0.5,False,False,0.01,32,0.8296874761581421,0.834 +- 0.01,0.7124999761581421,0.73 +- 0.021,0.834,0.73,-0.004312523841857874,-0.017500023841857892,-0.017500023841857892,0.73
Credit_g,89,l2,avg,1.0,False,False,0.01,32,0.8656250238418579,0.859 +- 0.008,0.7250000238418579,0.73 +- 0.019,0.859,0.73,0.006625023841857924,-0.004999976158142072,-0.004999976158142072,0.73
Credit_g,169,var,loss,1.0,False,False,0.01,32,0.8312500119209291,0.835 +- 0.009,0.7375000119209291,0.727 +- 0.015,0.835,0.727,-0.0037499880790708984,0.010500011920929087,-0.0037499880790708984,0.727
Credit_g,185,var,avg,1.0,False,False,0.01,32,0.8453124761581421,0.849 +- 0.008,0.7437499761581421,0.727 +- 0.018,0.849,0.727,-0.003687523841857887,0.01674997615814211,-0.003687523841857887,0.727
Credit_g,98,max,None,0.5,False,False,0.01,64,0.8671875,0.856 +- 0.01,0.7250000238418579,0.726 +- 0.015,0.856,0.726,0.011187500000000017,-0.0009999761581420685,-0.0009999761581420685,0.726
