dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Rmftsa_ctoarrivals,19,l1,loss,0.5,False,False,0.1,32,0.9523809552192688,0.922 +- 0.059,0.930232584476471,0.916 +- 0.062,0.922,0.916,0.030380955219268757,0.01423258447647091,0.01423258447647091,0.916
Rmftsa_ctoarrivals,21,l1,loss,0.5,False,True,0.01,32,0.9460033774375916,0.913 +- 0.056,0.9534883499145508,0.916 +- 0.062,0.913,0.916,0.03300337743759152,0.037488349914550745,0.03300337743759152,0.913
Rmftsa_ctoarrivals,5,l1,None,0.5,False,True,0.01,32,0.9464285969734192,0.912 +- 0.056,0.9534883499145508,0.918 +- 0.06,0.912,0.918,0.03442859697341916,0.03548834991455074,0.03442859697341916,0.912
Rmftsa_ctoarrivals,83,l2,avg,0.5,False,False,0.1,32,0.976190447807312,0.924 +- 0.055,0.9534883499145508,0.912 +- 0.065,0.924,0.912,0.05219044780731197,0.04148834991455075,0.04148834991455075,0.912
Rmftsa_ctoarrivals,92,l2,avg,1.0,False,False,0.1,64,0.9345238208770752,0.921 +- 0.063,0.9534883499145508,0.911 +- 0.059,0.921,0.911,0.013523820877075154,0.04248834991455075,0.013523820877075154,0.911
Rmftsa_ctoarrivals,158,var,None,1.0,False,True,0.01,64,0.9379251599311828,0.911 +- 0.053,0.9534883499145508,0.919 +- 0.062,0.911,0.919,0.02692515993118272,0.03448834991455074,0.02692515993118272,0.911
Rmftsa_ctoarrivals,180,var,avg,0.5,False,False,0.1,64,0.9702380895614624,0.935 +- 0.062,0.9767441749572754,0.911 +- 0.058,0.935,0.911,0.03523808956146235,0.06574417495727536,0.03523808956146235,0.911
Rmftsa_ctoarrivals,182,var,avg,0.5,False,True,0.01,64,0.9430271983146667,0.91 +- 0.056,0.9534883499145508,0.912 +- 0.061,0.91,0.912,0.03302719831466672,0.04148834991455075,0.03302719831466672,0.91
Rmftsa_ctoarrivals,6,l1,None,0.5,False,True,0.01,64,0.9396258592605592,0.909 +- 0.055,0.9534883499145508,0.914 +- 0.062,0.909,0.914,0.030625859260559163,0.03948834991455075,0.030625859260559163,0.909
Rmftsa_ctoarrivals,105,max,None,1.0,False,False,0.01,32,0.976190447807312,0.93 +- 0.06,0.9534883499145508,0.909 +- 0.059,0.93,0.909,0.04619044780731196,0.04448834991455075,0.04448834991455075,0.909
Rmftsa_ctoarrivals,85,l2,avg,0.5,False,True,0.01,32,0.940051019191742,0.908 +- 0.055,0.9534883499145508,0.912 +- 0.061,0.908,0.912,0.032051019191742025,0.04148834991455075,0.032051019191742025,0.908
Rmftsa_ctoarrivals,53,l2,None,0.5,False,True,0.01,32,0.9379251599311828,0.907 +- 0.056,0.9069767594337464,0.907 +- 0.06,0.907,0.907,0.030925159931182722,-2.324056625357951e-05,-2.324056625357951e-05,0.907
Rmftsa_ctoarrivals,49,l2,None,0.5,False,False,0.01,32,0.9642857313156128,0.936 +- 0.06,0.930232584476471,0.907 +- 0.059,0.936,0.907,0.02828573131561274,0.02323258447647092,0.02323258447647092,0.907
Rmftsa_ctoarrivals,82,l2,avg,0.5,False,False,0.01,64,0.9702380895614624,0.933 +- 0.058,0.930232584476471,0.907 +- 0.061,0.933,0.907,0.03723808956146235,0.02323258447647092,0.02323258447647092,0.907
Rmftsa_ctoarrivals,148,var,None,0.5,False,False,0.1,64,0.9523809552192688,0.924 +- 0.068,0.8837209343910217,0.905 +- 0.054,0.924,0.905,0.028380955219268755,-0.021279065608978298,-0.021279065608978298,0.905
Rmftsa_ctoarrivals,94,l2,avg,1.0,False,True,0.01,64,0.9375,0.905 +- 0.053,0.930232584476471,0.912 +- 0.065,0.905,0.912,0.03249999999999997,0.018232584476470914,0.018232584476470914,0.905
Rmftsa_ctoarrivals,166,var,loss,0.5,False,True,0.01,64,0.9315476417541504,0.905 +- 0.054,0.9534883499145508,0.912 +- 0.067,0.905,0.912,0.026547641754150364,0.04148834991455075,0.026547641754150364,0.905
Rmftsa_ctoarrivals,150,var,None,0.5,False,True,0.01,64,0.9340986609458924,0.905 +- 0.055,0.9534883499145508,0.911 +- 0.068,0.905,0.911,0.02909866094589242,0.04248834991455075,0.02909866094589242,0.905
Rmftsa_ctoarrivals,181,var,avg,0.5,False,True,0.01,32,0.9387755393981934,0.905 +- 0.054,0.9767441749572754,0.911 +- 0.058,0.905,0.911,0.03377553939819333,0.06574417495727536,0.03377553939819333,0.905
Rmftsa_ctoarrivals,174,var,loss,1.0,False,True,0.01,64,0.9375,0.904 +- 0.054,0.930232584476471,0.912 +- 0.068,0.904,0.912,0.033499999999999974,0.018232584476470914,0.018232584476470914,0.904
Rmftsa_ctoarrivals,20,l1,loss,0.5,False,False,0.1,64,0.9404761791229248,0.923 +- 0.059,0.8837209343910217,0.903 +- 0.06,0.923,0.903,0.017476179122924762,-0.019279065608978296,-0.019279065608978296,0.903
