dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Sonar,150,l1,avg,0.0,True,True,0.1,64,0.946259081363678,0.944 +- 0.005,0.9393939375877379,0.932 +- 0.013,0.944,0.932,0.0022590813636780283,0.0073939375877378755,0.0022590813636780283,0.932
Sonar,177,l1,avg,0.5,True,False,0.01,32,0.969924807548523,0.966 +- 0.006,0.9393939375877379,0.931 +- 0.014,0.966,0.931,0.003924807548522979,0.008393937587737876,0.003924807548522979,0.931
Sonar,1053,var,avg,0.5,False,False,0.01,32,0.939849615097046,0.943 +- 0.006,0.9393939375877379,0.929 +- 0.023,0.943,0.929,-0.00315038490295394,0.010393937587737878,-0.00315038490295394,0.929
Sonar,862,max,mult,1.0,False,False,0.01,64,0.962406039237976,0.963 +- 0.006,0.9393939375877379,0.922 +- 0.022,0.963,0.922,-0.0005939607620240039,0.017393937587737884,-0.0005939607620240039,0.922
Sonar,910,var,None,0.5,False,False,0.01,64,0.9548872113227844,0.955 +- 0.005,0.9393939375877379,0.921 +- 0.027,0.955,0.921,-0.0001127886772155362,0.018393937587737885,-0.0001127886772155362,0.921
Sonar,394,l2,loss,0.5,True,False,0.01,64,0.9548872113227844,0.954 +- 0.004,0.9393939375877379,0.916 +- 0.019,0.954,0.916,0.0008872113227844647,0.02339393758773789,0.0008872113227844647,0.916
Sonar,501,l2,avg,1.0,False,False,0.01,32,0.962406039237976,0.959 +- 0.005,0.9393939375877379,0.912 +- 0.026,0.959,0.912,0.0034060392379759996,0.027393937587737893,0.0034060392379759996,0.912
Sonar,166,l1,avg,0.0,False,False,0.01,64,0.9473684430122375,0.95 +- 0.004,0.9090909361839294,0.91 +- 0.015,0.95,0.91,-0.0026315569877624068,-0.0009090638160705877,-0.0026315569877624068,0.91
Sonar,142,l1,loss,1.0,False,False,0.01,64,0.939849615097046,0.944 +- 0.006,0.9393939375877379,0.908 +- 0.03,0.944,0.908,-0.004150384902953941,0.0313939375877379,-0.004150384902953941,0.908
Sonar,717,max,loss,1.0,False,False,0.01,32,0.962406039237976,0.961 +- 0.005,0.9090909361839294,0.907 +- 0.026,0.961,0.907,0.0014060392379759978,0.002090936183929415,0.0014060392379759978,0.907
Sonar,702,max,loss,1.0,True,True,0.1,64,0.908665120601654,0.907 +- 0.006,0.9393939375877379,0.918 +- 0.024,0.907,0.918,0.0016651206016540243,0.021393937587737888,0.0016651206016540243,0.907
Sonar,681,max,loss,0.5,True,False,0.01,32,0.962406039237976,0.952 +- 0.008,0.9090909361839294,0.907 +- 0.024,0.952,0.907,0.010406039237976006,0.002090936183929415,0.002090936183929415,0.907
Sonar,534,l2,mult,0.5,True,True,0.1,64,0.9248120188713074,0.925 +- 0.0,0.9090909361839294,0.906 +- 0.01,0.925,0.906,-0.00018798112869267136,0.003090936183929416,-0.00018798112869267136,0.906
Sonar,882,var,None,0.0,False,True,0.1,64,0.9111303091049194,0.91 +- 0.009,0.9090909361839294,0.905 +- 0.013,0.91,0.905,0.0011303091049194025,0.004090936183929417,0.0011303091049194025,0.905
Sonar,801,max,mult,0.0,True,False,0.01,32,0.962406039237976,0.962 +- 0.005,0.9090909361839294,0.904 +- 0.013,0.962,0.904,0.00040603923797599695,0.005090936183929418,0.00040603923797599695,0.904
Sonar,974,var,loss,0.5,False,True,0.001,64,0.975841224193573,0.972 +- 0.005,0.9090909361839294,0.904 +- 0.026,0.972,0.904,0.003841224193573023,0.005090936183929418,0.003841224193573023,0.904
Sonar,456,l2,avg,0.0,False,False,0.1,64,0.902255654335022,0.903 +- 0.007,0.9090909361839294,0.909 +- 0.0,0.903,0.909,-0.0007443456649780522,9.093618392941316e-05,-0.0007443456649780522,0.903
Sonar,466,l2,avg,0.5,True,False,0.01,64,0.9548872113227844,0.955 +- 0.006,0.9090909361839294,0.903 +- 0.024,0.955,0.903,-0.0001127886772155362,0.0060909361839294185,-0.0001127886772155362,0.903
Sonar,96,l1,loss,0.0,False,False,0.1,64,0.9172932505607604,0.916 +- 0.008,0.9090909361839294,0.903 +- 0.012,0.916,0.903,0.0012932505607603506,0.0060909361839294185,0.0012932505607603506,0.903
Sonar,650,max,loss,0.0,True,True,0.001,64,0.9632688164711,0.96 +- 0.007,0.9090909361839294,0.903 +- 0.023,0.96,0.903,0.0032688164711,0.0060909361839294185,0.0032688164711,0.903
Sonar,573,l2,mult,1.0,False,False,0.01,32,0.9774436354637146,0.973 +- 0.005,0.9090909361839294,0.903 +- 0.018,0.973,0.903,0.004443635463714624,0.0060909361839294185,0.004443635463714624,0.903
Sonar,861,max,mult,1.0,False,False,0.01,32,0.9473684430122375,0.945 +- 0.006,0.9090909361839294,0.902 +- 0.015,0.945,0.902,0.0023684430122375977,0.007090936183929419,0.0023684430122375977,0.902
Sonar,588,max,None,0.0,True,False,0.1,64,0.9097744226455688,0.902 +- 0.008,0.9090909361839294,0.904 +- 0.011,0.902,0.904,0.007774422645568824,0.005090936183929418,0.005090936183929418,0.902
Sonar,706,max,loss,1.0,True,False,0.01,64,0.9849624037742616,0.985 +- 0.004,0.9090909361839294,0.901 +- 0.026,0.985,0.901,-3.7596225738401046e-05,0.00809093618392942,-3.7596225738401046e-05,0.901
Sonar,993,var,loss,1.0,True,False,0.01,32,0.9473684430122375,0.944 +- 0.007,0.9090909361839294,0.901 +- 0.016,0.944,0.901,0.0033684430122375986,0.00809093618392942,0.0033684430122375986,0.901
Sonar,1054,var,avg,0.5,False,False,0.01,64,0.9473684430122375,0.947 +- 0.005,0.9090909361839294,0.899 +- 0.017,0.947,0.899,0.0003684430122375959,0.010090936183929422,0.0003684430122375959,0.899
Sonar,238,l1,mult,0.0,False,False,0.01,64,0.9548872113227844,0.952 +- 0.007,0.9090909361839294,0.898 +- 0.015,0.952,0.898,0.0028872113227844665,0.011090936183929423,0.0028872113227844665,0.898
Sonar,670,max,loss,0.0,False,False,0.01,64,0.9774436354637146,0.971 +- 0.007,0.9090909361839294,0.898 +- 0.028,0.971,0.898,0.006443635463714625,0.011090936183929423,0.006443635463714625,0.898
Sonar,742,max,avg,0.0,False,False,0.01,64,0.9774436354637146,0.98 +- 0.006,0.9090909361839294,0.897 +- 0.019,0.98,0.897,-0.0025563645362853826,0.012090936183929424,-0.0025563645362853826,0.897
