dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Wifi,1138,var,mult,1.0,True,False,0.01,64,0.982812523841858,0.976 +- 0.007,0.9812499880790709,0.978 +- 0.006,0.976,0.978,0.0068125238418580425,0.0032499880790709534,0.0032499880790709534,0.976
Wifi,360,l2,None,1.0,False,False,0.1,64,0.9835937619209291,0.975 +- 0.012,0.9812499880790709,0.975 +- 0.008,0.975,0.975,0.008593761920929088,0.006249988079070956,0.006249988079070956,0.975
Wifi,429,l2,loss,1.0,False,False,0.01,32,0.982031226158142,0.975 +- 0.01,0.9875000119209291,0.978 +- 0.008,0.975,0.978,0.007031226158142001,0.009500011920929086,0.007031226158142001,0.975
Wifi,132,l1,loss,1.0,True,False,0.1,64,0.9851562380790709,0.975 +- 0.011,0.984375,0.977 +- 0.007,0.975,0.977,0.010156238079070956,0.00737500000000002,0.00737500000000002,0.975
Wifi,178,l1,avg,0.5,True,False,0.01,64,0.984375,0.975 +- 0.01,0.984375,0.976 +- 0.01,0.975,0.976,0.009375000000000022,0.008375000000000021,0.008375000000000021,0.975
Wifi,129,l1,loss,1.0,True,False,0.01,32,0.9835937619209291,0.974 +- 0.009,0.9812499880790709,0.977 +- 0.006,0.974,0.977,0.00959376192092909,0.004249988079070954,0.004249988079070954,0.974
Wifi,118,l1,loss,0.5,False,False,0.01,64,0.9835937619209291,0.974 +- 0.009,0.984375,0.979 +- 0.008,0.974,0.979,0.00959376192092909,0.005375000000000019,0.005375000000000019,0.974
Wifi,348,l2,None,1.0,True,False,0.1,64,0.98046875,0.974 +- 0.009,0.984375,0.977 +- 0.007,0.974,0.977,0.006468750000000023,0.00737500000000002,0.006468750000000023,0.974
Wifi,419,l2,loss,1.0,True,False,0.1,32,0.98046875,0.974 +- 0.012,0.984375,0.976 +- 0.009,0.974,0.976,0.006468750000000023,0.008375000000000021,0.006468750000000023,0.974
Wifi,1005,var,loss,1.0,False,False,0.01,32,0.98046875,0.974 +- 0.009,0.984375,0.977 +- 0.006,0.974,0.977,0.006468750000000023,0.00737500000000002,0.006468750000000023,0.974
Wifi,924,var,None,1.0,True,False,0.1,64,0.9812499880790709,0.974 +- 0.007,0.984375,0.976 +- 0.006,0.974,0.976,0.007249988079070957,0.008375000000000021,0.007249988079070957,0.974
Wifi,142,l1,loss,1.0,False,False,0.01,64,0.982812523841858,0.974 +- 0.009,0.984375,0.975 +- 0.006,0.974,0.975,0.008812523841858044,0.009375000000000022,0.008812523841858044,0.974
Wifi,48,l1,None,0.5,False,False,0.1,64,0.984375,0.974 +- 0.011,0.9875000119209291,0.976 +- 0.01,0.974,0.976,0.010375000000000023,0.011500011920929087,0.010375000000000023,0.974
Wifi,1137,var,mult,1.0,True,False,0.01,32,0.98046875,0.973 +- 0.01,0.978124976158142,0.973 +- 0.008,0.973,0.973,0.007468750000000024,0.005124976158142003,0.005124976158142003,0.973
Wifi,537,l2,mult,0.5,True,False,0.01,32,0.984375,0.973 +- 0.011,0.984375,0.979 +- 0.011,0.973,0.979,0.011375000000000024,0.005375000000000019,0.005375000000000019,0.973
Wifi,1113,var,mult,0.5,True,False,0.01,32,0.978906273841858,0.973 +- 0.009,0.9875000119209291,0.977 +- 0.011,0.973,0.977,0.005906273841858045,0.010500011920929087,0.005906273841858045,0.973
Wifi,1056,var,avg,0.5,False,False,0.1,64,0.982031226158142,0.973 +- 0.01,0.984375,0.978 +- 0.008,0.973,0.978,0.009031226158142003,0.0063750000000000195,0.0063750000000000195,0.973
Wifi,177,l1,avg,0.5,True,False,0.01,32,0.9796875119209291,0.973 +- 0.01,0.9875000119209291,0.975 +- 0.009,0.973,0.975,0.00668751192092909,0.012500011920929088,0.00668751192092909,0.973
Wifi,276,l1,mult,1.0,True,False,0.1,64,0.982031226158142,0.975 +- 0.008,0.9812499880790709,0.973 +- 0.007,0.975,0.973,0.007031226158142001,0.008249988079070958,0.007031226158142001,0.973
Wifi,345,l2,None,1.0,True,False,0.01,32,0.98046875,0.973 +- 0.011,0.9812499880790709,0.974 +- 0.007,0.973,0.974,0.007468750000000024,0.007249988079070957,0.007249988079070957,0.973
Wifi,180,l1,avg,0.5,True,False,0.1,64,0.982031226158142,0.973 +- 0.011,0.984375,0.977 +- 0.006,0.973,0.977,0.009031226158142003,0.00737500000000002,0.00737500000000002,0.973
Wifi,70,l1,None,1.0,False,False,0.01,64,0.98046875,0.973 +- 0.012,0.984375,0.976 +- 0.008,0.973,0.976,0.007468750000000024,0.008375000000000021,0.007468750000000024,0.973
Wifi,283,l1,mult,1.0,False,False,0.001,32,0.98046875,0.973 +- 0.011,0.984375,0.975 +- 0.008,0.973,0.975,0.007468750000000024,0.009375000000000022,0.007468750000000024,0.973
Wifi,897,var,None,0.5,True,False,0.01,32,0.98046875,0.973 +- 0.01,0.990625023841858,0.976 +- 0.009,0.973,0.976,0.007468750000000024,0.014625023841858042,0.007468750000000024,0.973
Wifi,922,var,None,1.0,True,False,0.01,64,0.98046875,0.973 +- 0.009,0.984375,0.973 +- 0.009,0.973,0.973,0.007468750000000024,0.011375000000000024,0.007468750000000024,0.973
Wifi,213,l1,avg,1.0,False,False,0.01,32,0.982031226158142,0.974 +- 0.008,0.9812499880790709,0.973 +- 0.01,0.974,0.973,0.008031226158142002,0.008249988079070958,0.008031226158142002,0.973
Wifi,117,l1,loss,0.5,False,False,0.01,32,0.9812499880790709,0.973 +- 0.011,0.9875000119209291,0.974 +- 0.01,0.973,0.974,0.008249988079070958,0.01350001192092909,0.008249988079070958,0.973
Wifi,346,l2,None,1.0,True,False,0.01,64,0.9812499880790709,0.973 +- 0.009,0.9875000119209291,0.976 +- 0.009,0.973,0.976,0.008249988079070958,0.011500011920929087,0.008249988079070958,0.973
Wifi,899,var,None,0.5,True,False,0.1,32,0.9812499880790709,0.973 +- 0.011,0.9875000119209291,0.978 +- 0.006,0.973,0.978,0.008249988079070958,0.009500011920929086,0.008249988079070958,0.973
Wifi,970,var,loss,0.5,True,False,0.01,64,0.9812499880790709,0.973 +- 0.01,0.990625023841858,0.977 +- 0.009,0.973,0.977,0.008249988079070958,0.013625023841858042,0.008249988079070958,0.973
Wifi,406,l2,loss,0.5,False,False,0.01,64,0.9835937619209291,0.973 +- 0.011,0.9875000119209291,0.979 +- 0.007,0.973,0.979,0.01059376192092909,0.008500011920929085,0.008500011920929085,0.973
Wifi,202,l1,avg,1.0,True,False,0.01,64,0.982812523841858,0.973 +- 0.009,0.984375,0.973 +- 0.007,0.973,0.973,0.009812523841858045,0.011375000000000024,0.009812523841858045,0.973
Wifi,468,l2,avg,0.5,True,False,0.1,64,0.982812523841858,0.973 +- 0.012,0.993749976158142,0.98 +- 0.01,0.973,0.98,0.009812523841858045,0.013749976158141997,0.009812523841858045,0.973
Wifi,563,l2,mult,1.0,True,False,0.1,32,0.982812523841858,0.973 +- 0.012,0.984375,0.974 +- 0.009,0.973,0.974,0.009812523841858045,0.010375000000000023,0.009812523841858045,0.973
Wifi,576,l2,mult,1.0,False,False,0.1,64,0.982812523841858,0.973 +- 0.011,0.993749976158142,0.98 +- 0.01,0.973,0.98,0.009812523841858045,0.013749976158141997,0.009812523841858045,0.973
Wifi,1008,var,loss,1.0,False,False,0.1,64,0.975000023841858,0.972 +- 0.007,0.9812499880790709,0.976 +- 0.005,0.972,0.976,0.003000023841858046,0.005249988079070955,0.003000023841858046,0.972
Wifi,1078,var,avg,1.0,False,False,0.01,64,0.9765625,0.972 +- 0.009,0.9812499880790709,0.973 +- 0.008,0.972,0.973,0.004562500000000025,0.008249988079070958,0.004562500000000025,0.972
Wifi,58,l1,None,1.0,True,False,0.01,64,0.978906273841858,0.972 +- 0.011,0.9812499880790709,0.976 +- 0.007,0.972,0.976,0.006906273841858046,0.005249988079070955,0.005249988079070955,0.972
Wifi,59,l1,None,1.0,True,False,0.1,32,0.9773437380790709,0.972 +- 0.011,0.984375,0.975 +- 0.007,0.972,0.975,0.005343738079070959,0.009375000000000022,0.005343738079070959,0.972
Wifi,408,l2,loss,0.5,False,False,0.1,64,0.978906273841858,0.972 +- 0.009,0.984375,0.979 +- 0.008,0.972,0.979,0.006906273841858046,0.005375000000000019,0.005375000000000019,0.972
Wifi,1006,var,loss,1.0,False,False,0.01,64,0.978124976158142,0.972 +- 0.009,0.9875000119209291,0.977 +- 0.008,0.972,0.977,0.006124976158142004,0.010500011920929087,0.006124976158142004,0.972
Wifi,1042,var,avg,0.5,True,False,0.01,64,0.978124976158142,0.972 +- 0.009,0.984375,0.973 +- 0.009,0.972,0.973,0.006124976158142004,0.011375000000000024,0.006124976158142004,0.972
Wifi,141,l1,loss,1.0,False,False,0.01,32,0.978906273841858,0.972 +- 0.01,0.9875000119209291,0.973 +- 0.009,0.972,0.973,0.006906273841858046,0.01450001192092909,0.006906273841858046,0.972
Wifi,285,l1,mult,1.0,False,False,0.01,32,0.978906273841858,0.972 +- 0.012,0.9812499880790709,0.973 +- 0.009,0.972,0.973,0.006906273841858046,0.008249988079070958,0.006906273841858046,0.972
Wifi,286,l1,mult,1.0,False,False,0.01,64,0.978906273841858,0.972 +- 0.01,0.984375,0.976 +- 0.007,0.972,0.976,0.006906273841858046,0.008375000000000021,0.006906273841858046,0.972
Wifi,561,l2,mult,1.0,True,False,0.01,32,0.978906273841858,0.972 +- 0.011,0.990625023841858,0.976 +- 0.008,0.972,0.976,0.006906273841858046,0.014625023841858042,0.006906273841858046,0.972
Wifi,984,var,loss,0.5,False,False,0.1,64,0.978906273841858,0.972 +- 0.011,0.9875000119209291,0.98 +- 0.006,0.972,0.98,0.006906273841858046,0.007500011920929084,0.006906273841858046,0.972
Wifi,993,var,loss,1.0,True,False,0.01,32,0.978906273841858,0.972 +- 0.008,0.984375,0.974 +- 0.01,0.972,0.974,0.006906273841858046,0.010375000000000023,0.006906273841858046,0.972
Wifi,489,l2,avg,1.0,True,False,0.01,32,0.9796875119209291,0.972 +- 0.009,0.984375,0.977 +- 0.009,0.972,0.977,0.007687511920929091,0.00737500000000002,0.00737500000000002,0.972
Wifi,466,l2,avg,0.5,True,False,0.01,64,0.9835937619209291,0.972 +- 0.012,0.9875000119209291,0.98 +- 0.011,0.972,0.98,0.011593761920929091,0.007500011920929084,0.007500011920929084,0.972
Wifi,130,l1,loss,1.0,True,False,0.01,64,0.9796875119209291,0.972 +- 0.008,0.984375,0.975 +- 0.004,0.972,0.975,0.007687511920929091,0.009375000000000022,0.007687511920929091,0.972
Wifi,502,l2,avg,1.0,False,False,0.01,64,0.9796875119209291,0.972 +- 0.01,0.9875000119209291,0.973 +- 0.006,0.972,0.973,0.007687511920929091,0.01450001192092909,0.007687511920929091,0.972
Wifi,394,l2,loss,0.5,True,False,0.01,64,0.98046875,0.972 +- 0.011,0.984375,0.976 +- 0.011,0.972,0.976,0.008468750000000025,0.008375000000000021,0.008375000000000021,0.972
Wifi,983,var,loss,0.5,False,False,0.1,32,0.98046875,0.972 +- 0.01,0.984375,0.976 +- 0.007,0.972,0.976,0.008468750000000025,0.008375000000000021,0.008375000000000021,0.972
Wifi,189,l1,avg,0.5,False,False,0.01,32,0.98046875,0.972 +- 0.011,0.984375,0.974 +- 0.008,0.972,0.974,0.008468750000000025,0.010375000000000023,0.008468750000000025,0.972
Wifi,201,l1,avg,1.0,True,False,0.01,32,0.98046875,0.972 +- 0.011,0.984375,0.975 +- 0.01,0.972,0.975,0.008468750000000025,0.009375000000000022,0.008468750000000025,0.972
Wifi,465,l2,avg,0.5,True,False,0.01,32,0.98046875,0.972 +- 0.011,0.990625023841858,0.98 +- 0.008,0.972,0.98,0.008468750000000025,0.010625023841858039,0.008468750000000025,0.972
Wifi,490,l2,avg,1.0,True,False,0.01,64,0.98046875,0.972 +- 0.011,0.984375,0.972 +- 0.008,0.972,0.972,0.008468750000000025,0.012375000000000025,0.008468750000000025,0.972
Wifi,550,l2,mult,0.5,False,False,0.01,64,0.98046875,0.972 +- 0.011,0.9875000119209291,0.975 +- 0.01,0.972,0.975,0.008468750000000025,0.012500011920929088,0.008468750000000025,0.972
Wifi,1126,var,mult,0.5,False,False,0.01,64,0.98046875,0.972 +- 0.011,0.9875000119209291,0.975 +- 0.009,0.972,0.975,0.008468750000000025,0.012500011920929088,0.008468750000000025,0.972
Wifi,106,l1,loss,0.5,True,False,0.01,64,0.982812523841858,0.972 +- 0.012,0.9812499880790709,0.972 +- 0.011,0.972,0.972,0.010812523841858046,0.009249988079070959,0.009249988079070959,0.972
Wifi,324,l2,None,0.5,True,False,0.1,64,0.982031226158142,0.972 +- 0.013,0.9812499880790709,0.972 +- 0.01,0.972,0.972,0.010031226158142004,0.009249988079070959,0.009249988079070959,0.972
Wifi,190,l1,avg,0.5,False,False,0.01,64,0.984375,0.972 +- 0.013,0.984375,0.975 +- 0.01,0.972,0.975,0.012375000000000025,0.009375000000000022,0.009375000000000022,0.972
Wifi,119,l1,loss,0.5,False,False,0.1,32,0.982812523841858,0.972 +- 0.011,0.9875000119209291,0.977 +- 0.009,0.972,0.977,0.010812523841858046,0.010500011920929087,0.010500011920929087,0.972
Wifi,323,l2,None,0.5,True,False,0.1,32,0.982812523841858,0.972 +- 0.013,0.9875000119209291,0.976 +- 0.01,0.972,0.976,0.010812523841858046,0.011500011920929087,0.010812523841858046,0.972
Wifi,336,l2,None,0.5,False,False,0.1,64,0.985937476158142,0.972 +- 0.013,0.9875000119209291,0.976 +- 0.01,0.972,0.976,0.013937476158142004,0.011500011920929087,0.011500011920929087,0.972
