dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Iris,347,l2,None,1.0,True,False,0.1,32,0.9895833134651184,0.974 +- 0.019,0.9583333134651184,0.99 +- 0.018,0.974,0.99,0.015583313465118431,-0.03166668653488158,-0.03166668653488158,0.974
Iris,564,l2,mult,1.0,True,False,0.1,64,0.9791666865348816,0.969 +- 0.013,0.9583333134651184,0.979 +- 0.021,0.969,0.979,0.01016668653488162,-0.020666686534881573,-0.020666686534881573,0.969
Iris,1151,var,mult,1.0,False,False,0.1,32,0.9791666865348816,0.969 +- 0.013,0.9583333134651184,0.979 +- 0.021,0.969,0.979,0.01016668653488162,-0.020666686534881573,-0.020666686534881573,0.969
Iris,215,l1,avg,1.0,False,False,0.1,32,0.9791666865348816,0.977 +- 0.009,0.9583333134651184,0.969 +- 0.018,0.977,0.969,0.0021666865348816122,-0.010666686534881564,-0.010666686534881564,0.969
Iris,501,l2,avg,1.0,False,False,0.01,32,0.9791666865348816,0.982 +- 0.014,0.9583333134651184,0.969 +- 0.018,0.982,0.969,-0.002833313465118392,-0.010666686534881564,-0.010666686534881564,0.969
Iris,864,max,mult,1.0,False,False,0.1,64,0.9791666865348816,0.974 +- 0.012,0.9583333134651184,0.969 +- 0.018,0.974,0.969,0.005166686534881615,-0.010666686534881564,-0.010666686534881564,0.969
Iris,921,var,None,1.0,True,False,0.01,32,0.9895833134651184,0.969 +- 0.015,0.9583333134651184,0.969 +- 0.035,0.969,0.969,0.020583313465118436,-0.010666686534881564,-0.010666686534881564,0.969
Iris,1137,var,mult,1.0,True,False,0.01,32,0.9791666865348816,0.971 +- 0.011,0.9583333134651184,0.969 +- 0.018,0.971,0.969,0.008166686534881618,-0.010666686534881564,-0.010666686534881564,0.969
Iris,202,l1,avg,1.0,True,False,0.01,64,0.9791666865348816,0.966 +- 0.017,0.9583333134651184,0.979 +- 0.021,0.966,0.979,0.013166686534881622,-0.020666686534881573,-0.020666686534881573,0.966
Iris,324,l2,None,0.5,True,False,0.1,64,0.9791666865348816,0.966 +- 0.014,0.9583333134651184,0.969 +- 0.035,0.966,0.969,0.013166686534881622,-0.010666686534881564,-0.010666686534881564,0.966
Iris,705,max,loss,1.0,True,False,0.01,32,0.9791666865348816,0.966 +- 0.009,0.9583333134651184,0.969 +- 0.018,0.966,0.969,0.013166686534881622,-0.010666686534881564,-0.010666686534881564,0.966
Iris,837,max,mult,0.5,False,False,0.01,32,0.9895833134651184,0.966 +- 0.015,0.9583333134651184,0.969 +- 0.035,0.966,0.969,0.02358331346511844,-0.010666686534881564,-0.010666686534881564,0.966
Iris,911,var,None,0.5,False,False,0.1,32,0.9583333134651184,0.961 +- 0.011,1.0,0.969 +- 0.018,0.961,0.969,-0.002666686534881557,0.031000000000000028,-0.002666686534881557,0.961
Iris,1054,var,avg,0.5,False,False,0.01,64,0.9583333134651184,0.961 +- 0.009,0.9583333134651184,0.958 +- 0.029,0.961,0.958,-0.002666686534881557,0.0003333134651184455,-0.002666686534881557,0.958
Iris,34,l1,None,0.5,True,False,0.01,64,0.9791666865348816,0.961 +- 0.015,0.9583333134651184,0.958 +- 0.029,0.961,0.958,0.018166686534881626,0.0003333134651184455,0.0003333134651184455,0.958
Iris,129,l1,loss,1.0,True,False,0.01,32,0.9791666865348816,0.971 +- 0.009,0.9583333134651184,0.958 +- 0.0,0.971,0.958,0.008166686534881618,0.0003333134651184455,0.0003333134651184455,0.958
Iris,396,l2,loss,0.5,True,False,0.1,64,0.9791666865348816,0.974 +- 0.005,0.9583333134651184,0.958 +- 0.0,0.974,0.958,0.005166686534881615,0.0003333134651184455,0.0003333134651184455,0.958
Iris,633,max,None,1.0,True,False,0.01,32,0.9895833134651184,0.958 +- 0.013,0.9583333134651184,0.958 +- 0.042,0.958,0.958,0.031583313465118446,0.0003333134651184455,0.0003333134651184455,0.958
Iris,682,max,loss,0.5,True,False,0.01,64,0.9895833134651184,0.961 +- 0.015,0.9583333134651184,0.958 +- 0.042,0.961,0.958,0.028583313465118443,0.0003333134651184455,0.0003333134651184455,0.958
Iris,717,max,loss,1.0,False,False,0.01,32,0.96875,0.966 +- 0.009,0.9583333134651184,0.958 +- 0.029,0.966,0.958,0.00275000000000003,0.0003333134651184455,0.0003333134651184455,0.958
Iris,899,var,None,0.5,True,False,0.1,32,0.9791666865348816,0.956 +- 0.015,0.9166666865348816,0.958 +- 0.029,0.956,0.958,0.02316668653488163,-0.04133331346511837,-0.04133331346511837,0.956
Iris,359,l2,None,1.0,False,False,0.1,32,0.9583333134651184,0.956 +- 0.011,1.0,0.979 +- 0.021,0.956,0.979,0.0023333134651184473,0.02100000000000002,0.0023333134651184473,0.956
Iris,851,max,mult,1.0,True,False,0.1,32,0.9791666865348816,0.956 +- 0.011,1.0,0.979 +- 0.021,0.956,0.979,0.02316668653488163,0.02100000000000002,0.02100000000000002,0.956
Iris,707,max,loss,1.0,True,False,0.1,32,0.96875,0.951 +- 0.021,1.0,0.958 +- 0.029,0.951,0.958,0.017750000000000044,0.04200000000000004,0.017750000000000044,0.951
Iris,142,l1,loss,1.0,False,False,0.01,64,0.9479166865348816,0.953 +- 0.009,0.9583333134651184,0.948 +- 0.018,0.953,0.948,-0.0050833134651183665,0.010333313465118454,-0.0050833134651183665,0.948
Iris,201,l1,avg,1.0,True,False,0.01,32,0.96875,0.966 +- 0.005,0.9583333134651184,0.948 +- 0.018,0.966,0.948,0.00275000000000003,0.010333313465118454,0.00275000000000003,0.948
Iris,345,l2,None,1.0,True,False,0.01,32,0.9895833134651184,0.953 +- 0.016,0.9583333134651184,0.948 +- 0.018,0.953,0.948,0.03658331346511845,0.010333313465118454,0.010333313465118454,0.948
Iris,274,l1,mult,1.0,True,False,0.01,64,0.9583333134651184,0.945 +- 0.017,0.9583333134651184,0.958 +- 0.029,0.945,0.958,0.013333313465118457,0.0003333134651184455,0.0003333134651184455,0.945
Iris,40,l1,None,0.5,False,True,0.01,64,0.9770833253860474,0.933 +- 0.037,0.9583333134651184,0.958 +- 0.029,0.933,0.958,0.04408332538604731,0.0003333134651184455,0.0003333134651184455,0.933
