dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Parkinson,1066,var,avg,1.0,True,False,0.01,64,1.0,1.0 +- 0.0,1.0,0.997 +- 0.009,1.0,0.997,0.0,0.0030000000000000027,0.0,0.997
Parkinson,964,var,loss,0.5,True,True,0.01,64,1.0,0.997 +- 0.004,1.0,0.999 +- 0.007,0.997,0.999,0.0030000000000000027,0.0010000000000000009,0.0010000000000000009,0.997
Parkinson,1048,var,avg,0.5,False,True,0.01,64,0.9985975027084352,0.996 +- 0.005,1.0,1.0 +- 0.0,0.996,1.0,0.002597502708435173,0.0,0.0,0.996
Parkinson,1034,var,avg,0.5,True,True,0.001,64,1.0,0.998 +- 0.003,1.0,0.996 +- 0.011,0.998,0.996,0.0020000000000000018,0.0040000000000000036,0.0020000000000000018,0.996
Parkinson,196,l1,avg,1.0,True,True,0.01,64,0.9992987513542176,0.997 +- 0.004,1.0,0.996 +- 0.011,0.997,0.996,0.002298751354217643,0.0040000000000000036,0.002298751354217643,0.996
Parkinson,542,l2,mult,0.5,False,True,0.001,64,0.9996493458747864,0.996 +- 0.005,1.0,0.997 +- 0.009,0.996,0.997,0.0036493458747863805,0.0030000000000000027,0.0030000000000000027,0.996
Parkinson,422,l2,loss,1.0,False,True,0.001,64,0.9992987513542176,0.996 +- 0.005,1.0,0.996 +- 0.014,0.996,0.996,0.003298751354217644,0.0040000000000000036,0.003298751354217644,0.996
Parkinson,711,max,loss,1.0,False,True,0.01,32,0.998948097229004,0.995 +- 0.006,1.0,0.997 +- 0.009,0.995,0.997,0.003948097229004022,0.0030000000000000027,0.0030000000000000027,0.995
Parkinson,1070,var,avg,1.0,False,True,0.001,64,0.9985975027084352,0.995 +- 0.006,1.0,0.996 +- 0.011,0.995,0.996,0.003597502708435174,0.0040000000000000036,0.003597502708435174,0.995
Parkinson,554,l2,mult,1.0,True,True,0.001,64,0.998948097229004,0.995 +- 0.005,1.0,0.996 +- 0.011,0.995,0.996,0.003948097229004022,0.0040000000000000036,0.003948097229004022,0.995
Parkinson,493,l2,avg,1.0,False,True,0.001,32,0.9992987513542176,0.995 +- 0.005,1.0,0.996 +- 0.011,0.995,0.996,0.004298751354217645,0.0040000000000000036,0.0040000000000000036,0.995
Parkinson,553,l2,mult,1.0,True,True,0.001,32,0.998948097229004,0.996 +- 0.004,1.0,0.994 +- 0.012,0.996,0.994,0.002948097229004021,0.006000000000000005,0.002948097229004021,0.994
Parkinson,109,l1,loss,0.5,False,True,0.001,32,0.9985975027084352,0.994 +- 0.007,1.0,0.997 +- 0.009,0.994,0.997,0.004597502708435175,0.0030000000000000027,0.0030000000000000027,0.994
Parkinson,313,l2,None,0.5,True,True,0.001,32,0.998948097229004,0.994 +- 0.007,1.0,0.997 +- 0.009,0.994,0.997,0.004948097229004023,0.0030000000000000027,0.0030000000000000027,0.994
Parkinson,484,l2,avg,1.0,True,True,0.01,64,1.0,0.997 +- 0.003,1.0,0.994 +- 0.012,0.997,0.994,0.0030000000000000027,0.006000000000000005,0.0030000000000000027,0.994
Parkinson,532,l2,mult,0.5,True,True,0.01,64,0.9985975027084352,0.994 +- 0.006,1.0,0.997 +- 0.009,0.994,0.997,0.004597502708435175,0.0030000000000000027,0.0030000000000000027,0.994
Parkinson,640,max,None,1.0,False,True,0.01,64,0.9996493458747864,0.994 +- 0.006,1.0,0.997 +- 0.009,0.994,0.997,0.005649345874786382,0.0030000000000000027,0.0030000000000000027,0.994
Parkinson,327,l2,None,0.5,False,True,0.01,32,0.998948097229004,0.995 +- 0.005,1.0,0.994 +- 0.012,0.995,0.994,0.003948097229004022,0.006000000000000005,0.003948097229004022,0.994
Parkinson,759,max,avg,0.5,False,True,0.01,32,0.9985975027084352,0.994 +- 0.007,1.0,0.996 +- 0.011,0.994,0.996,0.004597502708435175,0.0040000000000000036,0.0040000000000000036,0.994
Parkinson,843,max,mult,1.0,True,True,0.01,32,0.998948097229004,0.994 +- 0.006,1.0,0.996 +- 0.014,0.994,0.996,0.004948097229004023,0.0040000000000000036,0.0040000000000000036,0.994
