dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Spam,394,l2,loss,0.5,True,False,0.01,64,0.9890109896659852,0.989 +- 0.001,0.9890109896659852,0.989 +- 0.002,0.989,0.989,1.0989665985228214e-05,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Spam,406,l2,loss,0.5,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.989 +- 0.002,0.989,0.989,1.0989665985228214e-05,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Spam,526,l2,mult,0.0,False,False,0.01,64,0.9917582273483276,0.99 +- 0.002,0.9890109896659852,0.989 +- 0.002,0.99,0.989,0.0017582273483276456,1.0989665985228214e-05,1.0989665985228214e-05,0.989
Spam,82,l1,loss,0.0,True,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,94,l1,loss,0.0,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.004,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,153,l1,avg,0.0,True,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.004,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,237,l1,mult,0.0,False,False,0.01,32,0.9890109896659852,0.989 +- 0.003,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,334,l2,None,0.5,False,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,346,l2,None,1.0,True,False,0.01,64,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.004,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,357,l2,None,1.0,False,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,369,l2,loss,0.0,True,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,453,l2,avg,0.0,False,False,0.01,32,0.9890109896659852,0.988 +- 0.002,0.9890109896659852,0.989 +- 0.002,0.988,0.989,0.001010989665985229,1.0989665985228214e-05,1.0989665985228214e-05,0.988
Spam,549,l2,mult,0.5,False,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,561,l2,mult,1.0,True,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,622,max,None,0.5,False,False,0.01,64,0.9890109896659852,0.989 +- 0.003,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
Spam,693,max,loss,0.5,False,False,0.01,32,0.9890109896659852,0.989 +- 0.002,0.9890109896659852,0.988 +- 0.003,0.989,0.988,1.0989665985228214e-05,0.001010989665985229,1.0989665985228214e-05,0.988
