dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Tokyo,174,var,loss,1.0,False,True,0.01,64,0.9336596131324768,0.933 +- 0.002,0.9155844449996948,0.927 +- 0.006,0.933,0.927,0.0006596131324767551,-0.011415555000305222,-0.011415555000305222,0.927
Tokyo,17,l1,loss,0.5,False,False,0.01,32,0.9265905618667604,0.927 +- 0.004,0.9285714030265808,0.926 +- 0.006,0.927,0.926,-0.00040943813323968126,0.0025714030265807652,-0.00040943813323968126,0.926
Tokyo,2,l1,None,0.5,False,False,0.01,64,0.9298532009124756,0.93 +- 0.003,0.9350649118423462,0.926 +- 0.007,0.93,0.926,-0.0001467990875244629,0.009064911842346146,-0.0001467990875244629,0.926
Tokyo,73,l2,loss,1.0,False,False,0.01,32,0.9249592423439026,0.927 +- 0.003,0.9220778942108154,0.925 +- 0.006,0.927,0.925,-0.0020407576560974583,-0.0029221057891846147,-0.0029221057891846147,0.925
Tokyo,122,max,loss,1.0,False,False,0.01,64,0.9461663961410522,0.944 +- 0.005,0.9220778942108154,0.925 +- 0.012,0.944,0.925,0.002166396141052296,-0.0029221057891846147,-0.0029221057891846147,0.925
Tokyo,149,var,None,0.5,False,True,0.01,32,0.938843548297882,0.938 +- 0.001,0.9285714030265808,0.925 +- 0.006,0.938,0.925,0.0008435482978820241,0.003571403026580766,0.0008435482978820241,0.925
Tokyo,33,l1,avg,0.5,False,False,0.01,32,0.9265905618667604,0.925 +- 0.005,0.9220778942108154,0.924 +- 0.008,0.925,0.924,0.0015905618667603205,-0.0019221057891846138,-0.0019221057891846138,0.924
Tokyo,161,var,loss,0.5,False,False,0.01,32,0.9298532009124756,0.931 +- 0.004,0.9220778942108154,0.924 +- 0.008,0.931,0.924,-0.0011467990875244638,-0.0019221057891846138,-0.0019221057891846138,0.924
Tokyo,66,l2,loss,0.5,False,False,0.01,64,0.9363784790039062,0.933 +- 0.003,0.9285714030265808,0.924 +- 0.006,0.933,0.924,0.0033784790039061985,0.004571403026580767,0.0033784790039061985,0.924
Tokyo,126,max,loss,1.0,False,True,0.01,64,0.9301069378852844,0.929 +- 0.002,0.9155844449996948,0.923 +- 0.014,0.929,0.923,0.0011069378852843759,-0.007415555000305218,-0.007415555000305218,0.923
Tokyo,65,l2,loss,0.5,False,False,0.01,32,0.9314845204353333,0.933 +- 0.002,0.9285714030265808,0.923 +- 0.008,0.933,0.923,-0.0015154795646667996,0.005571403026580768,-0.0015154795646667996,0.923
Tokyo,185,var,avg,1.0,False,False,0.01,32,0.9314845204353333,0.93 +- 0.003,0.9090909361839294,0.922 +- 0.006,0.93,0.922,0.001484520435333203,-0.012909063816070598,-0.012909063816070598,0.922
Tokyo,154,var,None,1.0,False,False,0.01,64,0.928221881389618,0.932 +- 0.003,0.9285714030265808,0.922 +- 0.008,0.932,0.922,-0.0037781186103820197,0.006571403026580769,-0.0037781186103820197,0.922
Tokyo,109,max,None,1.0,False,True,0.01,32,0.9324995279312134,0.932 +- 0.002,0.9285714030265808,0.922 +- 0.009,0.932,0.922,0.0004995279312133283,0.006571403026580769,0.0004995279312133283,0.922
Tokyo,82,l2,avg,0.5,False,False,0.01,64,0.9331158399581908,0.932 +- 0.003,0.9090909361839294,0.921 +- 0.008,0.932,0.921,0.0011158399581907563,-0.011909063816070597,-0.011909063816070597,0.921
Tokyo,150,var,None,0.5,False,True,0.01,64,0.9348196387290956,0.934 +- 0.001,0.9155844449996948,0.921 +- 0.007,0.934,0.921,0.0008196387290955176,-0.005415555000305217,-0.005415555000305217,0.921
Tokyo,186,var,avg,1.0,False,False,0.01,64,0.9298532009124756,0.931 +- 0.003,0.9285714030265808,0.921 +- 0.008,0.931,0.921,-0.0011467990875244638,0.00757140302658077,-0.0011467990875244638,0.921
Tokyo,177,var,avg,0.5,False,False,0.01,32,0.9298532009124756,0.93 +- 0.003,0.9285714030265808,0.921 +- 0.008,0.93,0.921,-0.0001467990875244629,0.00757140302658077,-0.0001467990875244629,0.921
Tokyo,146,var,None,0.5,False,False,0.01,64,0.9363784790039062,0.932 +- 0.003,0.9220778942108154,0.921 +- 0.007,0.932,0.921,0.004378479003906199,0.0010778942108153888,0.0010778942108153888,0.921
Tokyo,62,l2,None,1.0,False,True,0.01,64,0.9350734353065492,0.934 +- 0.002,0.9155844449996948,0.92 +- 0.008,0.934,0.92,0.0010734353065491309,-0.004415555000305216,-0.004415555000305216,0.92
Tokyo,110,max,None,1.0,False,True,0.01,64,0.9347109198570251,0.935 +- 0.002,0.9155844449996948,0.92 +- 0.013,0.935,0.92,-0.0002890801429749068,-0.004415555000305216,-0.004415555000305216,0.92
Tokyo,53,l2,None,0.5,False,True,0.01,32,0.932753324508667,0.932 +- 0.002,0.9350649118423462,0.92 +- 0.008,0.932,0.92,0.0007533245086669416,0.015064911842346151,0.0007533245086669416,0.92
Tokyo,169,var,loss,1.0,False,False,0.01,32,0.9331158399581908,0.932 +- 0.002,0.9285714030265808,0.92 +- 0.009,0.932,0.92,0.0011158399581907563,0.00857140302658077,0.0011158399581907563,0.92
Tokyo,178,var,avg,0.5,False,False,0.01,64,0.9363784790039062,0.931 +- 0.003,0.9285714030265808,0.92 +- 0.009,0.931,0.92,0.0053784790039062,0.00857140302658077,0.0053784790039062,0.92
Tokyo,70,l2,loss,0.5,False,True,0.01,64,0.942722499370575,0.941 +- 0.002,0.9090909361839294,0.919 +- 0.009,0.941,0.919,0.0017224993705750036,-0.009909063816070596,-0.009909063816070596,0.919
Tokyo,58,l2,None,1.0,False,False,0.01,64,0.9331158399581908,0.932 +- 0.002,0.9155844449996948,0.919 +- 0.007,0.932,0.919,0.0011158399581907563,-0.003415555000305215,-0.003415555000305215,0.919
Tokyo,57,l2,None,1.0,False,False,0.01,32,0.9298532009124756,0.931 +- 0.002,0.9220778942108154,0.919 +- 0.008,0.931,0.919,-0.0011467990875244638,0.0030778942108153906,-0.0011467990875244638,0.919
Tokyo,77,l2,loss,1.0,False,True,0.01,32,0.9309769868850708,0.93 +- 0.002,0.9220778942108154,0.919 +- 0.007,0.93,0.919,0.000976986885070752,0.0030778942108153906,0.000976986885070752,0.919
Tokyo,74,l2,loss,1.0,False,False,0.01,64,0.9314845204353333,0.93 +- 0.003,0.9220778942108154,0.919 +- 0.008,0.93,0.919,0.001484520435333203,0.0030778942108153906,0.001484520435333203,0.919
Tokyo,157,var,None,1.0,False,True,0.01,32,0.9425050020217896,0.941 +- 0.002,0.9220778942108154,0.919 +- 0.01,0.941,0.919,0.0015050020217896032,0.0030778942108153906,0.0015050020217896032,0.919
Tokyo,50,l2,None,0.5,False,False,0.01,64,0.94779771566391,0.941 +- 0.004,0.9220778942108154,0.919 +- 0.011,0.941,0.919,0.0067977156639100755,0.0030778942108153906,0.0030778942108153906,0.919
Tokyo,90,l2,avg,1.0,False,False,0.01,64,0.938009798526764,0.933 +- 0.003,0.9220778942108154,0.919 +- 0.007,0.933,0.919,0.0050097985267639755,0.0030778942108153906,0.0030778942108153906,0.919
Tokyo,1,l1,None,0.5,False,False,0.01,32,0.9184339046478271,0.923 +- 0.004,0.9090909361839294,0.918 +- 0.007,0.923,0.918,-0.004566095352172894,-0.008909063816070595,-0.008909063816070595,0.918
Tokyo,162,var,loss,0.5,False,False,0.01,64,0.9347471594810486,0.934 +- 0.003,0.9090909361839294,0.918 +- 0.006,0.934,0.918,0.0007471594810485316,-0.008909063816070595,-0.008909063816070595,0.918
Tokyo,37,l1,avg,0.5,False,True,0.01,32,0.9180351495742798,0.918 +- 0.001,0.9220778942108154,0.924 +- 0.005,0.918,0.924,3.5149574279746965e-05,-0.0019221057891846138,-0.0019221057891846138,0.918
Tokyo,89,l2,avg,1.0,False,False,0.01,32,0.9314845204353333,0.932 +- 0.002,0.9220778942108154,0.918 +- 0.007,0.932,0.918,-0.0005154795646667987,0.0040778942108153915,-0.0005154795646667987,0.918
Tokyo,46,l1,avg,1.0,False,True,0.01,64,0.9184339046478271,0.918 +- 0.0,0.9285714030265808,0.927 +- 0.005,0.918,0.927,0.00043390464782711025,0.0015714030265807644,0.00043390464782711025,0.918
Tokyo,5,l1,None,0.5,False,True,0.01,32,0.9186877012252808,0.918 +- 0.002,0.9090909361839294,0.917 +- 0.003,0.918,0.917,0.0006877012252807235,-0.007909063816070594,-0.007909063816070594,0.917
Tokyo,106,max,None,1.0,False,False,0.01,64,0.9331158399581908,0.939 +- 0.005,0.9285714030265808,0.917 +- 0.014,0.939,0.917,-0.005884160041809139,0.011571403026580773,-0.005884160041809139,0.917
Tokyo,49,l2,None,0.5,False,False,0.01,32,0.928221881389618,0.93 +- 0.004,0.9220778942108154,0.917 +- 0.007,0.93,0.917,-0.001778118610382018,0.005077894210815392,-0.001778118610382018,0.917
Tokyo,86,l2,avg,0.5,False,True,0.01,64,0.9409099221229552,0.94 +- 0.001,0.9285714030265808,0.917 +- 0.01,0.94,0.917,0.0009099221229552645,0.011571403026580773,0.0009099221229552645,0.917
Tokyo,117,max,loss,0.5,False,True,0.01,32,0.9307231903076172,0.931 +- 0.002,0.9090909361839294,0.916 +- 0.01,0.931,0.916,-0.00027680969238286224,-0.006909063816070593,-0.006909063816070593,0.916
Tokyo,121,max,loss,1.0,False,False,0.01,32,0.938009798526764,0.931 +- 0.004,0.9090909361839294,0.916 +- 0.011,0.931,0.916,0.007009798526763977,-0.006909063816070593,-0.006909063816070593,0.916
Tokyo,145,var,None,0.5,False,False,0.01,32,0.9298532009124756,0.934 +- 0.002,0.9220778942108154,0.916 +- 0.008,0.934,0.916,-0.0041467990875244665,0.006077894210815393,-0.0041467990875244665,0.916
Tokyo,93,l2,avg,1.0,False,True,0.01,32,0.9311582446098328,0.93 +- 0.002,0.9155844449996948,0.916 +- 0.007,0.93,0.916,0.0011582446098327148,-0.0004155550003052122,-0.0004155550003052122,0.916
Tokyo,182,var,avg,0.5,False,True,0.01,64,0.9322457909584044,0.932 +- 0.001,0.9155844449996948,0.916 +- 0.008,0.932,0.916,0.00024579095840437937,-0.0004155550003052122,-0.0004155550003052122,0.916
