dataset,conf_num,reg_type,weight_type,alpha,use_layer_norm,use_aug,lr,batch_size,train_full_score,train_partial_score,val_full_score,val_partial_score,train_partial_scores_mean,val_partial_scores_mean,train_diff_full_partial,val_diff_full_partial,diff_full_partial_min,partial_scores_mean_min
Wine,692,max,loss,0.5,False,False,0.001,64,0.5902999639511108,0.559 +- 0.01,0.5969387888908386,0.574 +- 0.012,0.559,0.574,0.03129996395111079,0.02293878889083867,0.02293878889083867,0.559
Wine,741,max,avg,0.0,False,False,0.01,32,0.6008296012878418,0.559 +- 0.02,0.6071428656578064,0.582 +- 0.022,0.559,0.582,0.041829601287841744,0.025142865657806435,0.025142865657806435,0.559
Wine,597,max,None,0.0,False,False,0.01,32,0.5931716561317444,0.559 +- 0.014,0.6096938848495483,0.583 +- 0.015,0.559,0.583,0.03417165613174433,0.026693884849548377,0.026693884849548377,0.559
Wine,861,max,mult,1.0,False,False,0.01,32,0.5909380912780762,0.559 +- 0.012,0.6122449040412903,0.583 +- 0.015,0.559,0.583,0.03193809127807612,0.02924490404129032,0.02924490404129032,0.559
Wine,693,max,loss,0.5,False,False,0.01,32,0.5867900252342224,0.558 +- 0.01,0.5982142686843872,0.584 +- 0.015,0.558,0.584,0.02879002523422236,0.014214268684387243,0.014214268684387243,0.558
Wine,826,max,mult,0.5,True,False,0.01,64,0.5957242846488953,0.558 +- 0.01,0.5994898080825806,0.58 +- 0.021,0.558,0.58,0.03772428464889521,0.019489808082580606,0.019489808082580606,0.558
Wine,862,max,mult,1.0,False,False,0.01,64,0.5954052209854126,0.558 +- 0.009,0.6007652878761292,0.578 +- 0.018,0.558,0.578,0.037405220985412546,0.022765287876129192,0.022765287876129192,0.558
Wine,633,max,None,1.0,True,False,0.01,32,0.588704526424408,0.558 +- 0.009,0.6135203838348389,0.589 +- 0.008,0.558,0.589,0.030704526424407907,0.0245203838348389,0.0245203838348389,0.558
Wine,790,max,avg,1.0,False,False,0.01,64,0.6040204167366028,0.557 +- 0.007,0.608418345451355,0.581 +- 0.012,0.557,0.581,0.04702041673660273,0.02741834545135502,0.02741834545135502,0.557
Wine,598,max,None,0.0,False,False,0.01,64,0.6065730452537537,0.557 +- 0.027,0.6135203838348389,0.583 +- 0.031,0.557,0.583,0.04957304525375361,0.030520383834838904,0.030520383834838904,0.557
Wine,704,max,loss,1.0,True,False,0.001,64,0.5848755836486816,0.556 +- 0.008,0.5943877696990967,0.579 +- 0.015,0.556,0.579,0.02887558364868159,0.01538776969909672,0.01538776969909672,0.556
Wine,844,max,mult,1.0,True,True,0.01,64,0.5756222009658813,0.556 +- 0.008,0.608418345451355,0.585 +- 0.012,0.556,0.585,0.019622200965881298,0.023418345451355016,0.019622200965881298,0.556
Wine,621,max,None,0.5,False,False,0.01,32,0.5877472758293152,0.556 +- 0.012,0.5994898080825806,0.577 +- 0.014,0.556,0.577,0.031747275829315136,0.02248980808258061,0.02248980808258061,0.556
Wine,705,max,loss,1.0,True,False,0.01,32,0.6005105376243591,0.556 +- 0.009,0.6173469424247742,0.588 +- 0.011,0.556,0.588,0.04451053762435908,0.029346942424774203,0.029346942424774203,0.556
Wine,763,max,avg,0.5,False,False,0.001,32,0.5893427133560181,0.555 +- 0.012,0.5969387888908386,0.577 +- 0.018,0.555,0.577,0.03434271335601802,0.019938788890838666,0.019938788890838666,0.555
Wine,681,max,loss,0.5,True,False,0.01,32,0.593490719795227,0.555 +- 0.014,0.5994898080825806,0.577 +- 0.02,0.555,0.577,0.038490719795227,0.02248980808258061,0.02248980808258061,0.555
Wine,634,max,None,1.0,True,False,0.01,64,0.588704526424408,0.555 +- 0.012,0.6071428656578064,0.58 +- 0.017,0.555,0.58,0.03370452642440791,0.027142865657806436,0.027142865657806436,0.555
Wine,825,max,mult,0.5,True,False,0.01,32,0.5982769727706909,0.555 +- 0.016,0.6109693646430969,0.582 +- 0.017,0.555,0.582,0.04327697277069087,0.028969364643096962,0.028969364643096962,0.555
Wine,801,max,mult,0.0,True,False,0.01,32,0.5970006585121155,0.555 +- 0.03,0.6147959232330322,0.579 +- 0.035,0.555,0.579,0.04200065851211543,0.03579592323303227,0.03579592323303227,0.555
Wine,766,max,avg,0.5,False,False,0.01,64,0.5816847681999207,0.554 +- 0.009,0.5931122303009033,0.582 +- 0.013,0.554,0.582,0.027684768199920606,0.011112230300903359,0.011112230300903359,0.554
Wine,787,max,avg,1.0,False,False,0.001,32,0.5804083943367004,0.554 +- 0.008,0.5994898080825806,0.581 +- 0.017,0.554,0.581,0.02640839433670039,0.018489808082580605,0.018489808082580605,0.554
Wine,403,l2,loss,0.5,False,False,0.001,32,0.5775367021560669,0.554 +- 0.016,0.6020408272743225,0.583 +- 0.018,0.554,0.583,0.023536702156066847,0.019040827274322547,0.019040827274322547,0.554
Wine,583,max,None,0.0,True,False,0.001,32,0.5909380912780762,0.554 +- 0.019,0.6173469424247742,0.585 +- 0.018,0.554,0.585,0.036938091278076124,0.032346942424774205,0.032346942424774205,0.554
Wine,406,l2,loss,0.5,False,False,0.01,64,0.5737076997756958,0.553 +- 0.014,0.5867347121238708,0.577 +- 0.011,0.553,0.577,0.020707699775695754,0.009734712123870892,0.009734712123870892,0.553
