dataset,n_epochs,reg_type,weight_type,alpha,lr,verbose,full_score,partial_score
Parkinson,300,l1,None,0,0.001,False,0.9487179517745972,0.9358974397182465 +- 0.014971132649218653
Parkinson,300,l1,None,0,0.001,False,0.9487179517745972,0.9393939430063422 +- 0.016482674569689958
Parkinson,300,l1,None,0,0.01,False,0.9230769276618958,0.9324009364301508 +- 0.019779209483627946
Parkinson,300,l1,None,0,0.01,False,0.9230769276618958,0.9195804243738 +- 0.02088166876371086
Parkinson,300,l1,None,0,0.1,False,0.8717948794364929,0.8694638772444292 +- 0.015285403574471345
Parkinson,300,l1,None,0,0.1,False,0.9230769276618958,0.9020979079333219 +- 0.023999136427318466
Parkinson,300,l1,None,0,0.001,False,0.8461538553237915,0.8484848575158552 +- 0.013186139655751963
Parkinson,300,l1,None,0,0.001,False,0.8461538553237915,0.8391608487476002 +- 0.020718400670251557
Parkinson,300,l1,None,0,0.01,False,0.8461538553237915,0.8496503586118872 +- 0.011713141051400493
Parkinson,300,l1,None,0,0.01,False,0.8717948794364929,0.8648018728603016 +- 0.01379039494282933
Parkinson,300,l1,None,0,0.1,False,0.8461538553237915,0.8438228531317278 +- 0.007371276157766766
Parkinson,300,l1,None,0,0.1,False,0.8717948794364929,0.8624708706682379 +- 0.012334504211494282
Parkinson,300,l1,None,0,0.001,False,0.9230769276618958,0.9184149232777682 +- 0.01835432961464888
Parkinson,300,l1,None,0,0.001,False,0.9743589758872986,0.9580419605428522 +- 0.014557104023700494
Parkinson,300,l1,None,0,0.01,False,0.9230769276618958,0.9265734309499915 +- 0.020881668763710858
Parkinson,300,l1,None,0,0.01,False,0.9487179517745972,0.9452214484865015 +- 0.020881668763710858
Parkinson,300,l1,None,0,0.1,False,0.8461538553237915,0.8414918509396639 +- 0.012552830970055174
Parkinson,300,l1,None,0,0.1,False,0.8717948794364929,0.8694638772444292 +- 0.007371276157766768
Parkinson,300,l1,None,0,0.001,False,0.8717948794364929,0.8659673739563335 +- 0.023105158997649144
Parkinson,300,l1,None,0,0.001,False,0.8717948794364929,0.8566433651880785 +- 0.014788551030479446
Parkinson,300,l1,None,0,0.01,False,0.8717948794364929,0.8671328750523654 +- 0.012552830970055174
Parkinson,300,l1,None,0,0.01,False,0.8717948794364929,0.8682983761483972 +- 0.008799340309167307
Parkinson,300,l1,None,0,0.1,False,0.8461538553237915,0.8589743673801422 +- 0.020085882182291653
Parkinson,300,l1,None,0,0.1,False,0.8205128312110901,0.8100233213468031 +- 0.019950165207874727
Parkinson,300,l1,None,0.5,0.001,False,0.9487179517745972,0.9417249451984059 +- 0.0158096260579648
Parkinson,300,l1,None,0.5,0.001,False,0.9743589758872986,0.949883452870629 +- 0.02250956499378912
Parkinson,300,l1,None,0.5,0.01,False,0.9230769276618958,0.930069934238087 +- 0.015809626057964803
Parkinson,300,l1,None,0.5,0.01,False,0.9743589758872986,0.9475524506785653 +- 0.02380020587354411
Parkinson,300,l1,None,0.5,0.1,False,0.8205128312110901,0.8158508268269625 +- 0.014742552315533532
Parkinson,300,l1,None,0.5,0.1,False,0.8717948794364929,0.8706293783404611 +- 0.005340996995120098
Parkinson,300,l1,None,0.5,0.001,False,0.8717948794364929,0.8706293783404611 +- 0.012168188679044043
Parkinson,300,l1,None,0.5,0.001,False,0.8461538553237915,0.8473193564198234 +- 0.009396570242133497
