dataset,use_aug,use_layer_norm,feats_weighting,score_full_mean,score_partial_mean,score_partial_std
Accent,True,True,True,0.69696968793869,0.702,0.048
Accent,True,True,False,0.727272748947144,0.712,0.04
Accent,True,False,True,0.727272748947144,0.682,0.026
Accent,True,False,False,0.818181812763214,0.754,0.028
Accent,False,True,True,0.69696968793869,0.674,0.036
Accent,False,True,False,0.757575750350952,0.713,0.048
Accent,False,False,True,0.727272748947144,0.696,0.044
Accent,False,False,False,0.727272748947144,0.703,0.038
Breast,True,True,True,0.956140339374542,0.956,0.006
Breast,True,True,False,0.973684191703796,0.97,0.01
Breast,True,False,True,0.956140339374542,0.957,0.007
Breast,True,False,False,0.973684191703796,0.972,0.005
Breast,False,True,True,0.973684191703796,0.973,0.006
Breast,False,True,False,0.973684191703796,0.965,0.005
Breast,False,False,True,0.964912295341492,0.966,0.006
Breast,False,False,False,0.964912295341492,0.967,0.005
Spam,True,True,True,0.964912295341492,0.964,0.007
Spam,True,True,False,0.973684191703796,0.968,0.007
Spam,True,False,True,0.973684191703796,0.973,0.006
Spam,True,False,False,0.973684191703796,0.972,0.008
Spam,False,True,True,0.973684191703796,0.97,0.006
Spam,False,True,False,0.956140339374542,0.962,0.007
Spam,False,False,True,0.982456147670746,0.977,0.005
Spam,False,False,False,0.964912295341492,0.969,0.008
Sonar,True,True,True,0.928571403026581,0.915,0.016
Sonar,True,True,False,0.928571403026581,0.916,0.015
Sonar,True,False,True,0.88095235824585,0.885,0.02
Sonar,True,False,False,0.904761910438538,0.902,0.017
Sonar,False,True,True,0.833333313465118,0.819,0.012
Sonar,False,True,False,0.833333313465118,0.829,0.009
Sonar,False,False,True,0.761904776096344,0.76,0.008
Sonar,False,False,False,0.857142865657806,0.842,0.016
Banknote,True,True,True,0.967272698879242,0.886,0.068
Banknote,True,True,False,0.970909118652344,0.9,0.054
Banknote,True,False,True,0.963636338710785,0.865,0.101
Banknote,True,False,False,0.967272698879242,0.895,0.046
Banknote,False,True,True,0.898181796073914,0.812,0.129
Banknote,False,True,False,0.996363639831543,0.873,0.086
Banknote,False,False,True,0.963636338710785,0.817,0.19
Banknote,False,False,False,0.992727279663086,0.873,0.08
Ecoli,True,True,True,0.632352948188782,0.62,0.012
Ecoli,True,True,False,0.632352948188782,0.618,0.011
Ecoli,True,False,True,0.617647051811218,0.607,0.017
Ecoli,True,False,False,0.632352948188782,0.62,0.015
Ecoli,False,True,True,0.617647051811218,0.601,0.054
Ecoli,False,True,False,0.632352948188782,0.601,0.034
Ecoli,False,False,True,0.632352948188782,0.609,0.045
Ecoli,False,False,False,0.632352948188782,0.607,0.038
Wifi,True,True,True,0.972500026226044,0.97,0.01
Wifi,True,True,False,0.97000002861023,0.97,0.011
Wifi,True,False,True,0.97000002861023,0.97,0.013
Wifi,True,False,False,0.972500026226044,0.969,0.013
Wifi,False,True,True,0.975000023841858,0.947,0.038
Wifi,False,True,False,0.975000023841858,0.964,0.022
Wifi,False,False,True,0.96749997138977,0.942,0.056
Wifi,False,False,False,0.980000019073486,0.965,0.021
Iris,True,True,True,0.966666638851166,0.875,0.098
Iris,True,True,False,0.966666638851166,0.867,0.091
Iris,True,False,True,0.966666638851166,0.942,0.014
Iris,True,False,False,0.966666638851166,0.875,0.101
Iris,False,True,True,0.966666638851166,0.808,0.159
Iris,False,True,False,0.933333337306976,0.842,0.159
Iris,False,False,True,0.933333337306976,0.8,0.151
Iris,False,False,False,0.933333337306976,0.808,0.15
Credit,True,True,True,0.809000015258789,0.808,0.005
Credit,True,True,False,0.809166669845581,0.808,0.005
Credit,True,False,True,0.80566668510437,0.805,0.005
Credit,True,False,False,0.81033331155777,0.809,0.004
Credit,False,True,True,0.812333345413208,0.811,0.007
Credit,False,True,False,0.807666659355164,0.807,0.006
Credit,False,False,True,0.810999989509583,0.81,0.005
Credit,False,False,False,0.810999989509583,0.81,0.006
